Subject,Total,UR,OBC,SC,ST,EWS,INSTITUTE,COURSE
Pathology,6,2,2,1,1,0,"PGIMER, Chandigarh",MD
Paediatrics,17,8,5,3,1,0,"PGIMER, Chandigarh",MD
Pharmacology,2,0,1,0,1,0,"PGIMER, Chandigarh",MD
Psychiatry,4,3,1,0,0,0,"PGIMER, Chandigarh",MD
Radiodiagnosis and Imaging,5,1,2,1,1,0,"PGIMER, Chandigarh",MD
Radiotherapy and Clinical Oncology,2,1,0,0,1,0,"PGIMER, Chandigarh",MD
General Surgery,16,8,5,2,1,0,"PGIMER, Chandigarh",MS
Transfusion Medicine,3,2,0,0,1,0,"PGIMER, Chandigarh",MD
Hospital Administration,1,0,0,1,0,0,"PGIMER, Chandigarh",MD
Orthodontics & Dentofacial Orthopedics,2,1,1,0,0,0,"PGIMER, Chandigarh",MDS
Pedodontics & Preventive Dentistry,2,1,0,1,0,0,"PGIMER, Chandigarh",MDS
Oral & Maxillofacial Surgery,2,1,0,0,1,0,"PGIMER, Chandigarh",MDS
Prosthodontics & Crown and Bridge,3,1,1,0,1,0,"PGIMER, Chandigarh",MDS
Transfusion Medicine,0,0,0,0,0,0,SCTIMST Trivandrum,MD
