SN,Insitute,Dept,Course,Total Seats,UR,OBC,SC,ST,EWS
490,JIPMER PUDUCHERRY,Physical Medicine and Rehabilitation,MD/MS,1,0,0,0,0,0
491,JIPMER PUDUCHERRY,Psychiatry,MD/MS,2,0,0,0,0,0
492,JIPMER PUDUCHERRY,Pulmonary medicine,MD/MS,3,0,0,0,0,0
493,JIPMER PUDUCHERRY,Radiodiagnosis,MD/MS,6,0,0,0,0,0
494,JIPMER PUDUCHERRY,Radiation Oncology,MD/MS,4,0,0,0,0,0
495,JIPMER PUDUCHERRY,General Surgery,MD/MS,11,0,0,0,0,0
496,JIPMER PUDUCHERRY,Obstetrics & Gynecology,MD/MS,11,0,0,0,0,0
497,JIPMER PUDUCHERRY,Ophthalmology,MD/MS,5,0,0,0,0,0
498,JIPMER PUDUCHERRY,Orthopaedics Surgery,MD/MS,4,0,0,0,0,0
499,JIPMER PUDUCHERRY,Otorhinolaryngology (ENT),MD/MS,4,0,0,0,0,0
500,JIPMER PUDUCHERRY,Neurosurgery (MCh 6 years),DM/MCH (06 YEARS),1,0,0,0,0,0
501,JIPMER PUDUCHERRY,Paediatric Surgery (MCh 6 Years),DM/MCH (06 YEARS),1,0,0,0,0,0
502,NIMHANS BENGALURU,Psychiatry,MD/MS,14,7,3,1,1,2
503,NIMHANS BENGALURU,Psychiatry (Karnataka Domicile),MD/MS,5,4,0,0,1,0
504,NIMHANS BENGALURU,Psychiatry (Northeastern Domicile),MD/MS,4,4,0,0,0,0
506,NIMHANS BENGALURU,Neurosurgery (MCh 6 years),DM/MCH (06 YEARS),2,2,0,0,0,0
507,PGIMER CHANDIGARH,Anaesthesia and Intensive Care,MD/MS,18,9,5,2,2,0
508,PGIMER CHANDIGARH,Biochemistry,MD/MS,1,1,0,0,0,0
509,PGIMER CHANDIGARH,Community Medicine,MD/MS,2,1,0,0,1,0
510,PGIMER CHANDIGARH,Dermatology & Venerology & Leprology,MD/MS,2,1,1,0,0,0
511,PGIMER CHANDIGARH,Otorhinolaryngology,MD/MS,3,2,0,1,0,0
512,PGIMER CHANDIGARH,Forensic Medicine,MD/MS,1,0,1,0,0,0
513,PGIMER CHANDIGARH,Medicine,MD/MS,16,8,4,3,1,0
514,PGIMER CHANDIGARH,Microbiology,MD/MS,3,2,0,1,,0
515,PGIMER CHANDIGARH,Nuclear Medicine,MD/MS,2,1,0,0,1,0
516,PGIMER CHANDIGARH,Obstetrics & Gynecology,MD/MS,7,4,2,1,0,0
517,PGIMER CHANDIGARH,Ophthalmology,MD/MS,7,4,2,1,0,0
518,PGIMER CHANDIGARH,Orthopaedics Surgery,MD/MS,5,3,1,1,0,0
519,PGIMER CHANDIGARH,Pathology,MD/MS,9,4,3,1,1,0
520,PGIMER CHANDIGARH,Pediatrics,MD/MS,16,8,4,2,2,0
521,PGIMER CHANDIGARH,Pharmacology,MD/MS,2,0,1,1,0,0
522,PGIMER CHANDIGARH,Psychiatry,MD/MS,5,2,2,1,0,0
523,PGIMER CHANDIGARH,Radiodiagnosis & Imaging,MD/MS,5,4,1,0,0,0
524,PGIMER CHANDIGARH,Radiotherapy and Clinical Oncology,MD/MS,2,1,0,1,0,0
525,PGIMER CHANDIGARH,General Surgery,MD/MS,18,9,5,3,1,0
526,PGIMER CHANDIGARH,Transfusion Medicine,MD/MS,3,1,1,1,0,0
527,PGIMER CHANDIGARH,Hospital Administration,MD/MS,1,0,0,1,0,0
