Round,AI Rank,State,Institute,Course,Quota,Category
0,761,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,SC
0,766,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,AIIMS-All India,SC
0,768,Odisha,"AIIMS, Bhubaneswar",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,772,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,AIIMS-All India,UR
0,773,Chhattisgarh,"AIIMS, Raipur",CARDIO THORACIC AND VASCULAR SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,774,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,UR
0,776,Odisha,"AIIMS, Bhubaneswar",OBG,AIIMS-All India,OBC
0,783,Rajasthan,"AIIMS, Jodhpur",ORTHOPAEDICS,AIIMS-All India,OBC
0,784,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,785,Rajasthan,"AIIMS, Jodhpur",OBG,AIIMS-All India,OBC
0,788,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,AIIMS-All India,OBC
0,789,Uttarakhand,"AIIMS, Rishikesh",OBG,AIIMS-Inst. Pref,UR-AIIMS-IP
0,791,Uttarakhand,"AIIMS, Rishikesh",ORTHOPAEDICS,AIIMS-All India,OBC
0,793,Pondicherry,"JIPMER, Puducherry",ENT,JIPMER-All India,OBC
0,801,Delhi,"AIIMS, Delhi",PSYCHIATRY,AIIMS-All India,OBC
0,802,Pondicherry,"JIPMER, Puducherry",ENT,JIPMER-All India,OBC
0,804,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-All India,UR
0,808,Chandigarh,"PGIMER, Chandigarh",IHBT,PGIMER-All India,UR
0,810,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,811,Uttarakhand,"AIIMS, Rishikesh",OBG,AIIMS-All India,OBC
0,814,Madhya Pradesh,"AIIMS, Bhopal",OBG,AIIMS-All India,OBC
0,816,Maharashtra,"AIIMS, Nagpur",OBG,AIIMS-All India,OBC
0,817,Gujarat,"AIIMS, Rajkot",OBG,AIIMS-All India,OBC
0,822,Assam,"AIIMS, Guwahati",ANAESTHESIOLOGY,AIIMS-All India,UR
