Institute,State,Inst. Type,Dept.,OPD,IPD,Beds,Bed Occ.,Histopath,Cytopath,Hematology,Clin. Path.,Biochem,C&S,Serology,X-Rays,USG,CT,MRI,Major OT,Minor OT,Emerg. OT
"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",Delhi,Govt,MBBS OVERALL,146068,7299,1538,0,54336,1590,544697,0,1261188,0,0,13009,6404,3520,413,0,0,0
"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",Delhi,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,4419,839
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MBBS OVERALL,24519,1838,513,73,227,93,14889,5034,29999,1273,350,2939,993,271,62,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD DERMATOLOGY,1131,47,10,67,0,0,596,201,1200,104,64,3,0,0,0,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD GENERAL MEDICINE,6197,563,132,71,0,0,4467,1510,8216,447,480,888,338,92,7,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD PAEDIATRICS,1256,245,61,80,0,0,1489,504,2833,149,160,424,70,19,6,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD PSYCHIATRY,682,22,16,71,0,0,295,101,637,15,32,6,0,3,9,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS ENT,1054,65,16,73,34,14,1191,403,2400,119,128,235,0,22,0,44,72,5
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS GENERAL SURGERY,3240,357,115,71,114,46,2713,906,5400,253,288,470,209,57,12,81,210,42
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS OBG,2603,282,83,69,68,28,1787,604,3600,179,192,147,298,24,7,41,104,13
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS OPHTHALMOLOGY,1125,62,16,75,0,0,744,252,1497,60,80,162,0,0,0,45,58,8
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS ORTHOPAEDICS,2108,171,62,81,11,5,1638,554,3300,164,176,588,80,46,22,45,69,19
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MBBS OVERALL,22399,1091,368,296,214,264,4260,1635,4197,562,935,4028,1779,598,269,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,596,114
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD DERMATOLOGY,710,20,10,7,39,0,168,42,308,25,62,0,0,0,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD GENERAL MEDICINE,5057,363,88,59,10,39,1034,595,714,126,139,988,374,190,123,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PAEDIATRICS,1306,81,30,20,0,40,155,49,268,43,108,282,192,46,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PSYCHIATRY,545,20,13,9,0,0,100,46,151,0,29,0,0,23,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PULMONARY MEDICINE,561,36,13,8,10,41,173,125,189,31,50,202,110,40,14,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS ENT,736,30,13,9,10,40,113,50,121,49,45,164,14,24,0,44,91,16
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS GENERAL SURGERY,4002,195,88,59,49,71,859,375,639,101,140,886,375,136,62,146,218,59
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS OBG,2458,117,60,40,97,33,511,281,836,134,184,249,578,45,0,31,109,5
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS OPHTHALMOLOGY,1246,59,13,9,0,0,90,34,142,13,23,12,0,21,0,54,67,12
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS ORTHOPAEDICS,2554,117,40,28,0,0,469,129,382,19,90,886,12,45,48,45,110,22
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,DENTISTRY,388,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MBBS OVERALL,29932,3506,577,500,233,449,52142,40252,43986,513,2228,3591,2431,538,246,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD BIOCHEMISTRY,0,0,0,0,0,0,0,0,43986,0,0,0,0,0,0,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD DERMATOLOGY,2065,174,40,31,1,1,2099,1000,1490,0,0,10,3,0,0,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD GENERAL MEDICINE,4746,644,130,118,4,52,12439,9554,11791,320,859,948,438,252,113,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD MICROBIOLOGY,0,0,0,0,0,0,0,0,0,513,2228,0,0,0,0,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD PAEDIATRICS,3278,429,67,57,0,0,5292,2682,3454,33,293,217,186,28,2,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD PATHOLOGY,0,0,0,0,233,449,52142,40252,0,0,0,0,0,0,0,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD PSYCHIATRY,632,33,12,9,0,0,1726,1518,957,0,0,14,0,29,1,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD PULMONARY MEDICINE,910,58,9,7,0,7,2225,1931,1241,0,0,281,6,26,4,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MD RADIODIAGNOSIS,0,0,0,0,0,0,0,0,0,0,0,3591,2431,538,246,0,0,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MS ENT,1792,175,30,23,2,36,2671,2225,2698,4,53,144,6,26,3,90,154,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MS GENERAL SURGERY,4080,553,130,114,115,170,9156,7161,7482,82,595,705,697,142,93,156,224,3
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MS OBG,3628,586,67,60,112,182,7290,6329,6616,3,196,301,1026,2,10,138,188,5
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MS OPHTHALMOLOGY,2459,305,30,27,0,0,2482,1564,2133,0,153,1,1,0,0,112,141,0
"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Maharashtra,Private,MS ORTHOPAEDICS,3590,353,60,53,1,0,6688,6426,6061,71,75,970,69,34,20,113,170,0
"Assam Medial College, Dibrugarh",Assam,Govt,DM CARDIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,93,36
"Assam Medial College, Dibrugarh",Assam,Govt,MBBS OVERALL,46730,5754,1909,1648,422,131,15111,3175,47107,2241,9930,3994,4646,3038,326,0,0,0
"Assam Medial College, Dibrugarh",Assam,Govt,MCh CARIO THORASIC SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,2
"Assam Medial College, Dibrugarh",Assam,Govt,MCh NEURO SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,35
"Assam Medial College, Dibrugarh",Assam,Govt,MCh PAEDIATRIC SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9,11
"Assam Medial College, Dibrugarh",Assam,Govt,MCh PLASTIC SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,3
"Assam Medial College, Dibrugarh",Assam,Govt,MCh UROLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,63,0
"Assam Medial College, Dibrugarh",Assam,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,345,538
"Assam Medial College, Dibrugarh",Assam,Govt,MD DERMATOLOGY,1963,28,30,6,0,2,308,96,299,28,503,11,6,4,0,0,0,0
"Assam Medial College, Dibrugarh",Assam,Govt,MD GENERAL MEDICINE,11845,1791,306,299,13,9,4679,875,2983,663,3217,905,982,688,74,0,0,0
"Assam Medial College, Dibrugarh",Assam,Govt,MD PAEDIATRICS,3229,598,198,173,0,7,1253,243,679,511,370,382,445,290,31,0,0,0
"Assam Medial College, Dibrugarh",Assam,Govt,MD PSYCHIATRY,645,61,44,36,13,0,232,0,166,1,32,63,73,47,5,0,0,0
"Assam Medial College, Dibrugarh",Assam,Govt,MS ENT,1971,95,40,21,55,61,826,128,425,123,235,218,252,164,18,36,286,6
"Assam Medial College, Dibrugarh",Assam,Govt,MS GENERAL SURGERY,4285,765,240,217,183,43,2726,276,1276,161,302,716,910,594,64,237,71,25
"Assam Medial College, Dibrugarh",Assam,Govt,MS OBG,3256,1242,249,219,111,5,4884,1433,978,118,3307,85,520,68,7,78,35,447
"Assam Medial College, Dibrugarh",Assam,Govt,MS OPHTHALMOLOGY,2208,213,90,50,3,0,0,0,338,13,214,98,114,73,8,166,65,4
"Assam Medial College, Dibrugarh",Assam,Govt,MS ORTHOPAEDICS,3612,292,182,169,7,0,469,0,214,51,283,600,199,453,50,208,52,17
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MBBS OVERALL,8013,2489,485,53,57,95,4764,1303,14721,154,1519,4590,1160,436,9,0,0,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,64,113
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MD DERMATOLOGY,651,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MD GENERAL MEDICINE,1575,569,120,74,2,11,1104,254,4772,35,264,570,109,222,4,0,0,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MD PAEDIATRICS,520,212,58,66,0,0,517,197,1154,25,116,291,16,22,1,0,0,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MD PSYCHIATRY,130,34,10,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MS ENT,279,19,10,18,9,14,22,2,83,5,7,8,2,8,0,102,12,114
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MS GENERAL SURGERY,448,835,90,66,16,77,643,386,1493,26,35,234,70,74,1,41,28,15
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MS OBG,648,555,60,94,32,36,1028,184,2101,10,17,2,22,0,0,102,154,89
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MS OPHTHALMOLOGY,508,144,30,37,1,0,73,12,373,1,45,32,2,0,0,110,12,0
"Atal Bihari Vajpayee Memorial Government Medical College, Rajnandgaon",Chhattisgarh,Govt,MS ORTHOPAEDICS,807,119,60,40,1,2,638,190,592,4,45,143,3,44,3,37,6,6
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MBBS OVERALL,25754,9667,420,77,0,4,64713,378,15658,0,15110,1815,398,0,0,0,0,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MD DERMATOLOGY,4774,187,10,62,0,0,1541,9,372,0,360,0,0,0,0,0,0,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MD EMERGENCY MEDICINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,1867
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MD GENERAL MEDICINE,6261,2438,100,81,0,0,15372,89,3690,0,3612,457,0,0,0,0,0,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MD PAEDIATRICS,2915,1103,50,74,0,0,7708,45,1864,0,1809,229,0,0,0,0,0,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MD PSYCHIATRY,252,200,10,66,0,0,1538,9,372,0,360,45,0,0,0,0,0,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MS ENT,1881,483,20,80,0,0,3027,14,475,0,823,0,0,0,0,2,11,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MS GENERAL SURGERY,4739,2393,100,80,0,0,15390,91,3787,0,3597,459,100,0,0,16,47,0
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MS OBG,2199,1404,50,94,0,4,7648,45,1893,0,1798,0,282,0,0,30,83,38
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,3843,490,20,82,0,0,3081,18,745,0,719,0,0,0,0,83,20,16
"Autonomous State Medical College, Etah",Uttar Pradesh,Govt,MS ORTHOPAEDICS,2930,969,40,81,0,0,6163,36,1491,0,1439,183,0,0,0,1,117,0
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MBBS OVERALL,35298,865,118,3065,0,0,124113,1281,33250,0,8117,4957,1633,645,0,0,0,0
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,376,95
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MS ENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,116,0
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MS GENERAL SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,37,0
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MS OBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,209,95
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4
"Autonomous State Medical College, Fatehpur",Uttar Pradesh,Govt,MS ORTHOPAEDICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,0
"Autonomous State Medical College, Ghazipur",Uttar Pradesh,Govt,MBBS OVERALL,52144,6189,328,62,63,63,269301,1168,52124,6,7448,7432,1084,1299,0,0,0,0
"Autonomous State Medical College, Ghazipur",Uttar Pradesh,Govt,MS ENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"Autonomous State Medical College, Ghazipur",Uttar Pradesh,Govt,MS GENERAL SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,3
"Autonomous State Medical College, Ghazipur",Uttar Pradesh,Govt,MS ORTHOPAEDICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MBBS OVERALL,52703,6075,430,373,0,0,38539,813,42117,3,12634,7836,470,1142,0,0,0,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MD DERMATOLOGY,3227,59,10,3,0,0,72,75,134,0,40,11,3,0,0,0,0,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MD GENERAL MEDICINE,9045,919,100,94,0,0,2054,2058,5993,0,952,308,203,159,0,0,0,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MD PAEDIATRICS,2774,303,50,48,0,0,619,645,1382,0,0,63,45,6,0,0,0,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MD PSYCHIATRY,521,14,10,2,0,0,26,0,37,0,22,0,0,10,0,0,0,0
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MS ENT,5741,83,10,6,0,0,724,751,928,0,0,120,134,150,0,5,53,12
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MS GENERAL SURGERY,2640,972,100,98,0,0,2103,2324,4460,0,0,1269,277,383,0,134,430,1674
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MS OBG,3618,1109,50,42,0,0,3617,3640,4551,0,3567,0,59,7,0,186,67,128
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,1137,36,10,4,0,0,33,34,92,0,38,7,0,3,0,23,16,6
"Autonomous State Medical College, Hardoi",Uttar Pradesh,Govt,MS ORTHOPAEDICS,6225,187,50,49,0,0,500,0,322,0,220,1548,0,186,0,31,60,8
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,DM PAEDIATRIC & NEONATAL ANAESTHESIA,2620,420,67,107,0,0,4816,53,3953,0,79,101,31,0,0,0,0,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MBBS OVERALL,25733,6502,500,6502,0,68,127955,839,64118,0,9656,5471,1241,0,0,0,0,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MD DERMATOLOGY,1065,3,10,3,0,0,1039,25,188,4,12,13,6,0,0,0,0,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MD GENERAL MEDICINE,8078,3560,118,117,0,0,36509,187,18375,0,2500,1751,495,0,0,0,0,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MD PSYCHIATRY,133,2,10,2,0,0,956,10,656,0,32,0,0,0,0,0,0,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MS ENT,1334,16,10,8,0,17,3662,24,830,0,138,251,36,0,0,111,2,7
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MS GENERAL SURGERY,1084,105,105,99,0,18,22016,142,13825,0,1318,162,542,0,0,98,57,226
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MS OBG,5900,1576,66,235,0,44,35863,368,10780,0,3260,786,96,0,0,262,250,249
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,1837,52,10,17,0,0,1963,11,1430,0,138,0,0,0,0,51,8,0
"Autonomous State Medical College, Pratapgarh",Uttar Pradesh,Govt,MS ORTHOPAEDICS,2736,770,54,100,0,0,12854,13,11777,0,1656,2382,40,0,0,72,57,56
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MBBS OVERALL,23337,2380,509,77,0,0,96417,625,40312,0,6575,4298,1678,726,0,328,595,2106
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MD DERMATOLOGY,1707,1383,10,81,0,0,1404,232,1455,0,241,0,0,0,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MD GENERAL MEDICINE,7639,996,100,77,0,0,4802,155,5506,0,237,237,214,80,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MD PAEDIATRICS,1841,1358,15,82,0,0,1453,232,1486,0,244,228,212,77,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MD PSYCHIATRY,482,294,10,81,0,0,341,218,362,0,228,202,0,232,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MS ENT,1636,1338,18,81,0,0,1129,219,1215,0,227,222,212,76,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MS GENERAL SURGERY,1195,912,100,77,0,0,1018,232,1078,0,220,234,211,79,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MS OBG,1745,1498,50,83,0,0,1556,268,1597,0,270,215,266,79,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,2051,1642,20,79,0,0,1467,244,1548,20,233,0,0,0,0,0,0,0
"Autonomous State Medical College, Siddharthnagar",Uttar Pradesh,Govt,MS ORTHOPAEDICS,2467,1640,30,82,0,0,1709,270,1720,0,266,272,0,80,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MD DERMATOLOGY,5304,22,10,52,8,12,53,343,519,10,1044,0,0,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MD GENERAL MEDICINE,15985,760,100,101,0,0,3208,7259,4594,2,79,472,183,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MD PAEDIATRICS,3271,852,50,91,0,0,0,0,1197,0,1350,147,46,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MD PSYCHIATRY,1426,14,10,21,0,0,164,95,71,0,71,11,1,14,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MS ENT,3390,26,10,66,0,0,0,0,495,0,594,20,0,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MS GENERAL SURGERY,4506,341,100,95,112,20,144,1458,2208,21,2658,1650,1667,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MS OBG,9119,2555,88,94,0,0,2165,2007,0,0,2465,0,0,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,3554,46,10,22,0,0,8,2,67,0,67,0,0,0,0,0,0,0
"Autonomous State Society Medical College, Mirzapur",Uttar Pradesh,Govt,MS ORTHOPAEDICS,3087,170,88,86,0,0,128,200,371,0,460,462,302,0,0,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MBBS OVERALL,30575,3762,680,538,332,391,13485,4039,11050,351,3070,4030,1497,905,196,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MD DERMATOLOGY,1845,112,15,11,2,0,391,218,547,0,59,123,0,0,0,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MD GENERAL MEDICINE,6194,842,150,126,0,87,3729,501,2707,21,690,836,464,143,41,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MD PAEDIATRICS,3186,431,90,70,0,56,2416,383,1699,25,564,498,218,94,19,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MD PSYCHIATRY,1318,139,15,12,0,0,199,385,567,0,0,205,0,29,0,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MD PULMONARY MEDICINE,1501,108,20,15,0,47,515,166,469,61,81,318,0,63,40,0,0,0
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MS ENT,2024,138,15,25,11,41,332,446,215,29,216,389,0,38,0,72,129,57
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MS GENERAL SURGERY,6117,781,150,125,146,142,1842,591,1657,82,0,467,467,419,38,154,272,116
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MS OBG,3104,658,90,70,82,5,2676,818,990,95,491,69,339,21,25,108,140,77
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MS OPHTHALMOLOGY,1934,137,15,11,10,3,234,221,270,16,98,317,0,27,0,66,130,57
"Ayaan Institute of Medical Sciences, Moinabad",Telangana,Private,MS ORTHOPAEDICS,3352,416,90,72,82,8,1151,310,1930,22,871,800,9,70,34,106,208,105
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MBBS OVERALL,27270,4409,540,417,193,176,7970,3058,13899,2705,1672,3188,1745,269,295,0,0,0
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MS ENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,176,83
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MS GENERAL SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,168,131
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MS OBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,372,56
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MS OPHTHALMOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,192,58
"Azeezia Institute of Medical Science, Kollam",Kerala,Private,MS ORTHOPAEDICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,143,121
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MBBS OVERALL,38957,2343,750,605,470,733,70340,20400,40941,1744,5371,4755,3042,435,332,602,1202,91
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MD DERMATOLOGY,2788,82,30,24,46,2,1407,408,819,35,107,48,30,0,0,0,0,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MD GENERAL MEDICINE,8164,429,150,122,0,72,17585,5100,10235,349,1074,1427,304,131,84,0,0,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MD PAEDIATRICS,3031,328,90,73,0,23,5627,1632,3275,87,269,476,243,22,7,0,0,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MD PSYCHIATRY,789,72,30,24,0,0,1610,491,978,18,83,50,30,4,3,0,0,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MS ENT,2718,163,60,48,44,82,5466,1549,3116,122,346,188,122,17,13,59,177,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MS GENERAL SURGERY,6370,373,150,122,164,476,14068,4268,8364,457,1431,428,609,152,56,216,328,38
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MS OBG,3239,375,90,71,188,58,14026,3892,8012,415,1255,49,1673,13,33,97,180,28
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MS OPHTHALMOLOGY,2714,151,60,46,1,0,3517,1020,2047,87,269,46,0,9,3,108,112,0
"BGS Global Institute of Medical Sciences, Bangalore",Karnataka,Private,MS ORTHOPAEDICS,3131,242,90,73,27,18,7034,2040,4094,174,537,2045,30,87,133,123,161,26
"BJ Government. Medical College, Pune",Maharashtra,Govt,MBBS OVERALL,35523,5467,1296,1101,541,133,26593,5340,209158,4357,6792,14988,6239,2404,238,1446,4396,716
"BJ Government. Medical College, Pune",Maharashtra,Govt,MD COMMUNITY MEDICINE,5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BJ Government. Medical College, Pune",Maharashtra,Govt,MD DERMATOLOGY,4196,39,70,19,103,41,1047,0,2327,207,796,162,113,1,1,0,0,0
"BJ Government. Medical College, Pune",Maharashtra,Govt,MD GENERAL MEDICINE,9474,2214,240,100,13,5,1992,7,2035,79,97,969,913,245,80,0,0,0
"BJ Government. Medical College, Pune",Maharashtra,Govt,MD PAEDIATRICS,3578,1069,128,111,10,1,177,68,1760,368,710,336,500,116,80,0,0,0
"BJ Government. Medical College, Pune",Maharashtra,Govt,MD PSYCHIATRY,2938,78,70,12,0,0,84,0,82,0,1,6,3,1,0,0,0,0
"BJ Government. Medical College, Pune",Maharashtra,Govt,MS ENT,1720,76,30,76,107,24,180,21,168,16,116,187,93,96,4,63,20,8
"BJ Government. Medical College, Pune",Maharashtra,Govt,MS GENERAL SURGERY,752,2934,247,232,149,28,206,515,14917,59,29,1697,4581,303,294,317,572,203
"BJ Government. Medical College, Pune",Maharashtra,Govt,MS OBG,1987,1195,210,99,93,179,2258,0,1669,42,39,182,1106,30,14,76,685,367
