Round,AI Rank,State,Institute,Course,Quota,Category
0,4801,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4811,Maharashtra,"AIIMS, Nagpur",GENERAL SURGERY,AIIMS-All India,SC
0,4842,Uttar Pradesh,"AIIMS, Rai Bareli",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4860,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,AIIMS-All India,SC
0,4866,Delhi,"AIIMS, Delhi",ANATOMY,AIIMS-All India,OBC
0,4884,Andhra Pradesh,"AIIMS, Mangalagiri",OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4887,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4899,Punjab,"AIIMS, Bathinda",ENT,AIIMS-All India,SC
0,4906,Pondicherry,"JIPMER, Puducherry",OBG,JIPMER-All India,ST
0,4921,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4958,Uttar Pradesh,"AIIMS, Rai Bareli",OBG,AIIMS-All India,SC
0,4974,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,JIPMER-All India,OBC
0,4979,Gujarat,"AIIMS, Rajkot",OBG,AIIMS-All India,SC
0,4981,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OBG,AIIMS-All India,SC
0,4998,Delhi,"AIIMS, Delhi",PHYSIOLOGY,AIIMS-All India,OBC
0,5034,Delhi,"AIIMS, Delhi",LAB MEDICINE,AIIMS-All India,EWS
0,5043,Chhattisgarh,"AIIMS, Raipur",FORENSIC MEDICINE,AIIMS-All India,OBC
0,5080,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",IHBT,AIIMS-All India,EWS
0,5081,Uttarakhand,"AIIMS, Rishikesh",BIOCHEMISTRY,AIIMS-All India,OBC
0,5084,Chhattisgarh,"AIIMS, Raipur",ANATOMY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5097,Punjab,"AIIMS, Bathinda",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5104,Maharashtra,"AIIMS, Nagpur",GENERAL SURGERY,AIIMS-All India,SC
0,5125,Bihar,"AIIMS, Patna",GENERAL SURGERY,AIIMS-All India,SC
0,5141,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",EMERGENCY MEDICINE,AIIMS-All India,SC
0,5147,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,AIIMS-All India,ST
0,5160,Andhra Pradesh,"AIIMS, Mangalagiri",PATHOLOGY,AIIMS-All India,EWS
0,5171,Assam,"AIIMS, Guwahati",RADIO DIAGNOSIS,AIIMS-All India,ST
0,5174,Madhya Pradesh,"AIIMS, Bhopal",PHARMACOLOGY,AIIMS-All India,OBC
0,5198,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIPMER-All India,OBC
0,5200,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-KAR Domicile,SC-Karnataka Domicile
0,5231,Jammu and Kashmir,"AIIMS, Jammu",ORTHOPAEDICS,AIIMS-All India,SC
0,5234,Odisha,"AIIMS, Bhubaneswar",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5236,Uttar Pradesh,"AIIMS, Gorakhpur",FAMILY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5243,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,ST
0,5272,Telangana,"AIIMS, Bibinagar",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5300,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,AIIMS-All India,ST
0,5314,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,5327,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5329,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,AIIMS-All India,SC
0,5349,Jharkhand,"AIIMS, Deoghar",PHARMACOLOGY,AIIMS-All India,OBC
0,5372,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,SC
0,5403,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,SC
0,5410,Maharashtra,"AIIMS, Nagpur",PSYCHIATRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5432,Bihar,"AIIMS, Patna",PHARMACOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5453,Telangana,"AIIMS, Bibinagar",GENERAL SURGERY,AIIMS-All India,SC
0,5494,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,ST
0,5516,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5527,Gujarat,"AIIMS, Rajkot",PATHOLOGY,AIIMS-All India,EWS
0,5540,Jharkhand,"AIIMS, Deoghar",PATHOLOGY,AIIMS-All India,EWS
0,5544,Delhi,"AIIMS, Delhi",PALLIATIVE MEDICINE,AIIMS-All India,SC
0,5550,Punjab,"AIIMS, Bathinda",OBG,AIIMS-All India,SC
0,5562,Chandigarh,"PGIMER, Chandigarh",HOSPITAL ADMINISTRATION,PGIMER-All India,SC
0,5573,Delhi,"AIIMS, Delhi",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5586,Punjab,"AIIMS, Bathinda",RADIO DIAGNOSIS,AIIMS-All India,UR-PwD
0,5615,Punjab,"AIIMS, Bathinda",BIOCHEMISTRY,AIIMS-All India,OBC
0,5646,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",TRAUMATOLOGY AND SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5667,Bihar,"AIIMS, Patna",BIOCHEMISTRY,AIIMS-All India,OBC
0,5672,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,AIIMS-All India,ST
0,5746,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5753,Chandigarh,"PGIMER, Chandigarh",MICROBIOLOGY,PGIMER-All India,OBC
0,5773,Andhra Pradesh,"AIIMS, Mangalagiri",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5804,Andhra Pradesh,"AIIMS, Mangalagiri",RADIATION ONCOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5807,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,SC
0,5816,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5840,Uttarakhand,"AIIMS, Rishikesh",RADIATION ONCOLOGY,AIIMS-All India,ST
0,5842,Punjab,"AIIMS, Bathinda",COMMUNITY & FAMILY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5862,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,AIIMS-All India,ST
0,5875,Assam,"AIIMS, Guwahati",BIOCHEMISTRY,AIIMS-All India,OBC
0,5884,Punjab,"AIIMS, Bathinda",FORENSIC MEDICINE,AIIMS-All India,OBC
0,5887,Odisha,"AIIMS, Bhubaneswar",OPHTHALMOLOGY,AIIMS-All India,SC
0,5907,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5916,Odisha,"AIIMS, Bhubaneswar",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5951,Jharkhand,"AIIMS, Deoghar",GENERAL SURGERY,AIIMS-All India,SC
0,5960,Jammu and Kashmir,"AIIMS, Jammu",OBG,AIIMS-All India,SC
0,5982,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,AIIMS-All India,ST
0,5986,Madhya Pradesh,"AIIMS, Bhopal",OPHTHALMOLOGY,AIIMS-All India,SC
0,5988,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5997,Maharashtra,"AIIMS, Nagpur",BIOCHEMISTRY,AIIMS-All India,OBC
0,6003,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,JIPMER-All India,EWS
0,6007,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,AIIMS-All India,SC
0,6038,Rajasthan,"AIIMS, Jodhpur",MICROBIOLOGY,AIIMS-All India,OBC
0,6058,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,ST
0,6070,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6072,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6073,Jharkhand,"AIIMS, Deoghar",OBG,AIIMS-All India,SC
0,6075,Madhya Pradesh,"AIIMS, Bhopal",PHYSIOLOGY,AIIMS-All India,OBC
0,6106,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,EWS
0,6128,Jammu and Kashmir,"AIIMS, Jammu",OPHTHALMOLOGY,AIIMS-All India,SC
0,6135,Andhra Pradesh,"AIIMS, Mangalagiri",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6137,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6149,Maharashtra,"AIIMS, Nagpur",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6236,Chhattisgarh,"AIIMS, Raipur",MICROBIOLOGY,AIIMS-All India,OBC
0,6243,Bihar,"AIIMS, Patna",ANATOMY,AIIMS-All India,OBC
0,6259,Delhi,"AIIMS, Delhi",PATHOLOGY,AIIMS-All India,SC
0,6269,Odisha,"AIIMS, Bhubaneswar",MICROBIOLOGY,AIIMS-All India,EWS
0,6272,Rajasthan,"AIIMS, Jodhpur",PHYSIOLOGY,AIIMS-All India,OBC
0,6296,Maharashtra,"AIIMS, Nagpur",IHBT,AIIMS-All India,SC
0,6334,Madhya Pradesh,"AIIMS, Bhopal",PHARMACOLOGY,AIIMS-All India,EWS
0,6351,Andhra Pradesh,"AIIMS, Mangalagiri",HOSPITAL ADMINISTRATION,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6385,Chhattisgarh,"AIIMS, Raipur",ANATOMY,AIIMS-All India,OBC
