Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
NBE Diploma,GEN,Karnataka,"General Hosp, Pavagada",DCH(NBEMS),125000,"56,250",1,2000000,Info Not Available,26210(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Uttar Pradesh,"Max SS Hosp, Ghaziabad",DNBANAESTHESIOLOGY,125000,60000,0,0,436,26212(6),,,,,,,,,,,,,
NBE Diploma,GEN,Rajasthan,"District Hospital, Dholpur",DGO(NBEMS),125000,62388,0,0,Info Not Available,26213(2),,,,,,,,,,,,,
AIQ,SC,Punjab,"Govt Med Coll, Amritsar",OPHTHALMOLOGY,"125,000","76,000",2,"2,000,000",951,26214(1),,,,,,,,,,,,,
AIQ,EWS,Gujarat,"PDU Med Coll, Rajkot",PATHOLOGY,"30,000",100800,1,"4,000,000",750,26220(1),,,,,,,,,,,,,
AIQ,SC,Maharashtra,"MGIMS, Wardha",GENERAL SURGERY,"157,100",93559,1,5000000,1000,26225(1),,,,,,,,,,,,,
AIQ,SC,Andhra Pradesh,"Govt Siddhartha, Vijaywada",TBRD,"30,000",60823,0,0,707,26236(1),,,,,,,,,,,,,
NBE Diploma,EWS,Rajasthan,"District Hospital, Sirohi",DGO(NBEMS),125000,62388,0,0,Info Not Available,26245(1),,,,,,,,,,,,,
DNB Post MBBS,SC,Bihar,"Sadar Hospital,Ghantaghar Chowk",DNBGENERAL MEDICINE,125000,82000,2,"2,500,000",100,26247(1),,,,,,,,,,,,,
AIQ,SC,Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,"30,000",100800,1,"4,000,000",1250,26248(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Assam,"Health City Hospital, Guwahati",DNBEMERGENCY MEDICINE,125000,52000,0,0,200,26252(2),,,,,,,,,,,,,
IP,OBC,Delhi,"VMMC, Delhi",OPHTHALMOLOGY,"15,000","120,965",1,2000000,1550,26255(1),,,,,,,,,,,,,
NBE Diploma,SC,Gujarat,"GMERS MedColl Hosp,Mehsana",DCH(NBEMS),125000,75600,0,0,Info Not Available,26257(1),,,,,,,,,,,,,
NBE Diploma,GEN,Tamil Nadu,"SalemPolyclinic, Salem",DGO(NBEMS),125000,46000,0,0,250,26267(2),,,,,,,,,,,,,
IP,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,51000,136008,1,2000000,1626,26272(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Maharashtra,"Manipal Hospitals, Baner, Pune",DNBANAESTHESIOLOGY,125000,89500,0,0,202,26278(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Odisha,"SUM Ultimate, Bhubaneswar,Odisha",DNBANAESTHESIOLOGY,125000,"70,000",0,0,350,26284(4),,,,,,,,,,,,,
AIQ,EWS,Delhi,"UCMS, Delhi",PATHOLOGY,"47,220","132,336",1,2000000,1000,26288(1),,,,,,,,,,,,,
NBE Diploma,GEN,Telangana,"Rainbow WomChild,LB Nagar, HYD",DGO(NBEMS),125000,"67,032",0,0,100,26292(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,West Bengal,"Healthworld Hospital, Durgapur",DNBEMERGENCY MEDICINE,125000,61635,0,0,300,26298(2),,,,,,,,,,,,,
NBE Diploma,GEN,Karnataka,"Sigma Hospital, Mysore",DCH(NBEMS),125000,"55,000",0,0,150,26300(1),,,,,,,,,,,,,
MNG,GEN,Maharashtra,"BVDU, Sangli",RADIO DIAGNOSIS,"4,456,850","86,000",1,1200000,853,26311(5),,,,,,,,,,,,,
AIQ,EWS,Kerala,"Govt Med Coll, Manjeri",ENT,"69,470",57876,1,"5,000,000",500,26318(1),,,,,,,,,,,,,
AIQ,ST,Uttar Pradesh,"MLB Med Coll, Jhansi",GENERAL MEDICINE,"24,000","110,646",2,"4,000,000",700,26319(1),,,,,,,,,,,,,
NBE Diploma,GEN,West Bengal,"Burnpur Hospital, Asansol",DCH(NBEMS),125000,"56,100",0,0,290,26322(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBHEALTH ADMINISTRATION,125000,92000,0,0,737,26324(2),,,,,,,,,,,,,
MNG,GEN,Maharashtra,"MGM Med Coll, Navi Mumbai",GENERAL MEDICINE,"4,000,000",88000,1,2500000,1740,26326(10),,,,,,,,,,,,,
NBE Diploma,GEN,Tamil Nadu,"Sir Ivan Stedford Hosp,Ambattur",DCH(NBEMS),125000,50440,0,0,Info Not Available,26328(2),,,,,,,,,,,,,
NBE Diploma,GEN,Chhattisgarh,"PetalsNewborn&Child Hosp,Raipur",DCH(NBEMS),125000,63000,0,0,160,26337(2),,,,,,,,,,,,,
AIQ,GEN,Karnataka,"KIMS, Hubli",PATHOLOGY,"68,400",56250,1,"5,000,000",1200,26338(3),,,,,,,,,,,,,
NBE Diploma,OBC,Bihar,"Sadar Hospital,Muzaffarpur",DGO(NBEMS),125000,82000,2,"2,500,000",Info Not Available,26339(1),,,,,,,,,,,,,
NBE Diploma,GEN,Karnataka,"NirmalaMSHosp,Alanahalli,Mysore",DCH(NBEMS),125000,"55,000",0,0,100,26343(2),,,,,,,,,,,,,
AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",PHARMACOLOGY,"69,470",57876,1,"5,000,000",2094,26344(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Tamil Nadu,"ParvathyOrthoHos,Chrompet,CHN",DNBORTHOPAEDICS,125000,48000,0,0,150,26345(2),,,,,,,,,,,,,
