Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,Open,Tamil Nadu,"Madurai Medical College, Madurai",MD GENERAL MEDICINE,50000,952 (5),1385 (5),1520 (5),-,1022 (6),1574 (6),1596 (6),-,-,715 (5),1081 (5),-,-
All India Quota,EWS,Maharashtra,"Government Medical College, Aurangabad",MD GENERAL MEDICINE,143300,961 (1),1953 (1),1953 (1),-,1387 (1),1588 (1),2424 (1),-,-,2142 (1),2186 (1),3763 (1),-
All India Quota,Open,Telangana,"ESIC Medical College, Sanath Nagar, Hyderabad",MD GENERAL MEDICINE,250000,858 (1),1064 (1),1065 (1),-,-,-,-,-,-,1260 (3),1315 (3),3449 (2),-
All India Quota,Open,Andhra Pradesh,"Guntur Medical College, Guntur",MD RADIODIAGNOSIS,15375,862 (2),928 (2),1851 (2),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",MD RADIODIAGNOSIS,143300,912 (1),912 (1),1376 (1),-,1102 (1),1102 (1),1102 (1),-,-,847 (1),1017 (1),-,-
All India Quota,Open,Andhra Pradesh,"Rangaraya Medical College, Kakinada",MD RADIODIAGNOSIS,15375,928 (2),957 (2),1101 (2),-,-,-,-,-,-,930 (1),1176 (1),1920 (1),-
All India Quota,OBC,Maharashtra,"BJ Government. Medical College, Pune",MD GENERAL MEDICINE,143300,932 (1),932 (1),932 (1),-,1704 (2),2712 (2),2886 (2),-,-,1428 (2),1969 (2),3721 (2),-
All India Quota,Open,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",MD GENERAL MEDICINE,38000,941 (3),848 (3),1367 (3),3446 (1),471 (4),955 (4),1078 (4),-,-,938 (4),955 (4),-,-
All India Quota,OBC,Kerala,"Government Medical College, Thiruvananthapuram",MD GENERAL MEDICINE,69470,889 (2),1005 (2),1005 (2),-,725 (2),945 (2),945 (2),-,-,316 (2),316 (2),-,-
All India Quota,OBC,Kerala,"Government Medical College, Thrissur",MD DERMATOLOGY,69470,924 (1),1314 (1),1314 (1),-,-,-,-,-,-,675 (1),1073 (1),-,-
All India Quota,Open,Punjab,"Government Medical College, Amritsar",MD DERMATOLOGY,125000,986 (2),1179 (2),1208 (2),-,1465 (1),1703 (1),2649 (1),-,-,-,-,-,-
All India Quota,Open,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MS ORTHOPAEDICS,48226,1044 (1),1044 (1),4733 (4),-,2017 (2),2017 (2),4964 (2),-,-,1416 (1),1754 (1),-,-
All India Quota,Open,Manipur,"Regional Institute of Medical Sciences, Imphal",MD RADIODIAGNOSIS,5000,990 (1),1305 (1),1544 (1),-,1294 (1),1618 (1),1980 (1),-,-,597 (1),882 (1),-,-
All India Quota,OBC,Kerala,"Government Medical College, Thrissur",MD GENERAL MEDICINE,69470,1062 (2),1698 (2),1698 (2),-,904 (1),1499 (1),1499 (1),-,-,673 (2),1025 (2),-,-
All India Quota,Open,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",MD GENERAL MEDICINE,143300,991 (3),1500 (3),2229 (3),-,876 (2),1334 (2),1361 (2),-,-,1274 (3),1792 (3),3313 (3),-
All India Quota,Open,Tamil Nadu,"Madurai Medical College, Madurai",MD DERMATOLOGY,50000,1056 (1),2300 (1),2300 (1),-,-,-,-,-,-,1228 (2),1228 (2),-,-
All India Quota,OBC,Punjab,"Government Medical College, Amritsar",MD RADIODIAGNOSIS,125000,980 (1),980 (1),980 (1),-,1571 (1),2330 (1),2330 (1),-,-,-,-,-,-
All India Quota,EWS,Maharashtra,"Grant Medical College, Mumbai",MD GENERAL MEDICINE,143300,966 (1),1443 (1),1580 (1),-,1245 (1),1387 (1),1387 (1),-,-,875 (1),1839 (1),2656 (1),-
All India Quota,Open,Tamil Nadu,"Madras Medical College, Chennai",MD DERMATOLOGY,50000,971 (6),1437 (6),1437 (6),-,913 (6),2026 (6),2135 (6),-,-,665 (5),795 (5),-,-
All India Quota,Open,Karnataka,"Mandya Institute of Medical Sciences, Mandya",MD DERMATOLOGY,124150,1025 (1),1325 (1),2098 (1),-,1020 (1),1020 (1),1020 (1),-,-,1138 (1),1138 (1),-,-
All India Quota,Open,Chandigarh,"Government Medical College, Chandigarh",MD PAEDIATRICS,34500,1076 (1),1231 (1),1231 (1),-,1052 (2),2280 (2),2280 (2),-,-,976 (2),976 (2),3825 (1),5214 (1)
DNB Quota,Open,Haryana,"Medanta The Medicity, Gurgaon",DNB RADIODIAGNOSIS,125000,964 (4),948 (4),1256 (4),-,1528 (2),1528 (2),1528 (2),-,-,1391 (2),2043 (2),2923 (2),-
All India Quota,OBC,Andhra Pradesh,"Rangaraya Medical College, Kakinada",MD RADIODIAGNOSIS,15375,984 (1),1162 (1),1723 (1),-,890 (1),1510 (1),1510 (1),-,-,1154 (1),1446 (1),-,-
All India Quota,Open,Telangana,"Government Medical College, Nizamabad",MD RADIODIAGNOSIS,25000,1078 (1),1078 (1),1471 (1),5323 (1),-,-,-,-,-,-,-,-,-
All India Quota,OBC,Telangana,"Gandhi Medical College, Secunderabad",MD GENERAL MEDICINE,25000,1081 (2),1285 (2),1285 (2),-,815 (2),815 (2),815 (2),-,-,1299 (2),607 (2),-,-
All India Quota,EWS,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",MD RADIODIAGNOSIS,143300,992 (1),992 (1),992 (1),-,1071 (1),1071 (1),1071 (1),-,-,-,-,-,-
All India Quota,Open,Andhra Pradesh,"Kurnool Medical College, Kurnool",MD GENERAL MEDICINE,15375,1000 (4),1273 (4),1487 (4),-,1206 (3),1206 (3),1235 (3),-,-,1232 (4),1232 (4),701 (1),-
All India Quota,OBC,Kerala,"Government TD Medical College, Alappuzha",MD GENERAL MEDICINE,69470,1005 (2),1514 (2),1514 (2),-,956 (2),1498 (2),1498 (2),-,-,616 (2),1018 (2),1448 (1),-
All India Quota,EWS,Telangana,"Osmania Medical College, Hyderabad",MD GENERAL MEDICINE,25000,1010 (1),1010 (1),1010 (1),-,-,-,-,-,-,493 (1),1052 (1),-,-
All India Quota,OBC,Karnataka,"Gadag Institute of Medical Sciences, Mallasamudra, Gadag",MD RADIODIAGNOSIS,124150,1013 (1),1761 (1),1761 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",MD RADIODIAGNOSIS,188000,1024 (1),1024 (1),1024 (1),-,931 (1),882 (1),882 (1),-,-,-,-,-,-
All India Quota,EWS,Delhi,"Maulana Azad Medical College, New Delhi",MD PAEDIATRICS,57600,965 (1),965 (1),965 (1),-,-,-,-,-,-,360 (1),360 (1),-,-
All India Quota,SC,Maharashtra,"Grant Medical College, Mumbai",MD RADIODIAGNOSIS,143300,1083 (1),1083 (1),1083 (1),-,3384 (1),4091 (1),4091 (1),-,-,1177 (1),2096 (1),-,-
All India Quota,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MS ORTHOPAEDICS,41000,1085 (2),1268 (2),1268 (2),4432 (1),647 (1),647 (1),647 (1),-,-,1375 (3),1375 (3),-,-
All India Quota,OBC,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD DERMATOLOGY,48226,976 (1),976 (1),976 (1),-,682 (1),682 (1),682 (1),-,-,-,-,-,-
All India Quota,OBC,Goa,"Goa Medical College, Panaji",MD RADIODIAGNOSIS,122522,1037 (1),1067 (1),1472 (1),-,851 (1),1261 (1),1484 (1),-,-,-,-,-,-
All India Quota,OBC,Gujarat,"BJ Medical College, Ahmedabad",MD GENERAL MEDICINE,30000,1079 (2),1446 (2),1446 (2),-,1541 (4),1995 (4),1995 (4),-,-,1452 (4),1849 (4),-,-
All India Quota,Open,Kerala,"Government Medical College, Pariyaram, Kannur",MD DERMATOLOGY,69470,1091 (1),1480 (1),1494 (1),-,812 (1),1538 (1),1863 (1),-,-,-,-,-,-
All India Quota,EWS,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",MD GENERAL MEDICINE,38000,972 (1),1154 (1),1976 (1),-,509 (1),1394 (1),1757 (1),-,-,1104 (1),1104 (1),-,-
All India Quota,EWS,Maharashtra,"Dr. Vaishampayan Memorial Medical College, Solapur",MD RADIODIAGNOSIS,143300,1012 (1),2243 (1),2243 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Tamil Nadu,"Madurai Medical College, Madurai",MD GENERAL MEDICINE,50000,1036 (4),1434 (4),2224 (4),-,1103 (3),1103 (3),1103 (3),-,-,948 (4),1289 (4),2058 (1),-
All India Quota,OBC,Uttar Pradesh,"King George Medical University, Lucknow",MD GENERAL MEDICINE,54700,1088 (3),1157 (3),1157 (3),-,993 (1),1952 (2),1952 (2),-,-,902 (2),902 (2),-,-
All India Quota,OBC,Bihar,"Patna Medical College, Patna",MD RADIODIAGNOSIS,9000,1017 (1),1017 (1),1017 (1),-,1915 (1),1738 (1),2605 (1),-,-,-,-,-,-
All India Quota,Open,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MS GENERAL SURGERY,143300,1051 (5),1664 (5),3109 (5),-,743 (4),784 (4),1116 (4),-,-,780 (4),844 (4),-,-
All India Quota,OBC,Maharashtra,"Topiwala National Medical College, Mumbai",MD GENERAL MEDICINE,143300,978 (2),1359 (2),1359 (2),-,1230 (2),1279 (2),1279 (2),-,-,1059 (2),1118 (2),-,-
All India Quota,OBC,Karnataka,"Hassan Institute of Medical Sciences, Hassan",MD RADIODIAGNOSIS,124150,1014 (1),1014 (1),1014 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Punjab,"Government Medical College, Amritsar",MD GENERAL MEDICINE,125000,1059 (3),1481 (3),1481 (3),-,1472 (3),1472 (3),1472 (3),-,-,1764 (4),1979 (4),3507 (1),-
All India Quota,EWS,Madhya Pradesh,"MGM Medical College, Indore",MD GENERAL MEDICINE,101500,1016 (1),1016 (1),1016 (1),-,1836 (1),1891 (1),1891 (1),-,-,1233 (1),2359 (1),-,-
All India Quota,Open,Maharashtra,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha",MD GENERAL MEDICINE,286860,1033 (2),1819 (2),2576 (2),-,1757 (1),1856 (1),2181 (1),-,-,1566 (1),2242 (1),3586 (1),-
DU,OBC,Delhi,"Maulana Azad Medical College, New Delhi",MD RADIODIAGNOSIS,57600,1049 (3),1049 (3),1049 (3),-,459 (2),459 (2),459 (2),-,-,1534 (3),1534 (3),-,-
All India Quota,Open,Kerala,"Government TD Medical College, Alappuzha",MD DERMATOLOGY,69470,1070 (1),1207 (1),1207 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,West Bengal,"College of Medicine & Sagore Dutta Hospital, Kolkata",MD GENERAL MEDICINE,12000,1092 (1),1254 (1),1830 (1),-,1509 (1),1726 (1),2186 (1),-,-,1885 (2),2609 (2),5283 (2),-
All India Quota,OBC,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD GENERAL MEDICINE,48226,987 (2),1054 (2),1054 (2),-,438 (1),719 (1),719 (1),-,-,730 (3),730 (3),2984 (1),-
All India Quota,OBC,Karnataka,"Shimoga Institute of Medical Sciences, Shimoga",MD RADIODIAGNOSIS,124150,1009 (1),1009 (1),1009 (1),-,-,-,-,-,-,971 (1),1659 (1),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD PAEDIATRICS,57600,1046 (4),1853 (4),1990 (4),-,818 (3),1126 (3),1419 (3),-,-,1057 (3),1164 (3),-,-
All India Quota,Open,Rajasthan,"Dr. SN Medical College, Jodhpur",MD DERMATOLOGY,12812,1115 (2),1281 (2),1477 (2),-,-,-,-,-,-,1075 (1),1339 (1),-,-
All India Quota,OBC,West Bengal,"Government Medical College, Kolkata",MD RADIODIAGNOSIS,12000,1162 (1),1645 (1),1645 (1),-,-,-,-,-,-,2295 (1),3072 (1),-,-
All India Quota,Open,Assam,"Gauhati Medical College, Guwahati",MD GENERAL MEDICINE,17900,1187 (3),2178 (3),2512 (3),-,883 (3),960 (3),960 (3),-,-,2290 (5),2707 (5),3897 (1),-
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MS GENERAL SURGERY,143300,1194 (4),1795 (4),2121 (4),-,1116 (4),1133 (4),1291 (4),-,-,1002 (5),1647 (5),4333 (1),-
All India Quota,Open,Telangana,"Osmania Medical College, Hyderabad",MD DERMATOLOGY,25000,1179 (2),1482 (2),1482 (2),-,711 (4),711 (4),1763 (4),-,-,426 (2),1776 (2),677 (1),-
All India Quota,Open,Delhi,"Chacha Nehru Bal Chikitsalaya, Delhi",MD PAEDIATRICS,18000,1093 (1),2130 (1),2130 (1),-,-,-,-,-,-,1477 (1),1597 (1),-,-
DU,Open,Delhi,"Maulana Azad Medical College, New Delhi",MS OBG,57600,1094 (2),1692 (2),3294 (3),-,2972 (4),2972 (4),2972 (4),-,-,1804 (3),1804 (3),-,-
All India Quota,Open,Rajasthan,"RNT Medical College, Udaipur",MD GENERAL MEDICINE,12812,1125 (7),1302 (7),1500 (7),-,1186 (4),1186 (4),1186 (4),-,-,1322 (5),1414 (5),3183 (2),4667 (1)
All India Quota,EWS,Gujarat,"Government Medical College, Surat",MD GENERAL MEDICINE,30000,1128 (1),1128 (1),1128 (1),-,1232 (1),1950 (1),1950 (1),-,-,1254 (2),1254 (2),-,-
All India Quota,EWS,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",MD GENERAL MEDICINE,15375,1165 (1),1399 (1),1399 (1),-,-,-,-,-,-,841 (1),1731 (1),-,-
All India Quota,Open,Karnataka,"Shimoga Institute of Medical Sciences, Shimoga",MD GENERAL MEDICINE,124150,1163 (1),1120 (1),1606 (1),-,-,-,-,-,-,1851 (1),1981 (1),3496 (1),-
All India Quota,OBC,Maharashtra,"Topiwala National Medical College, Mumbai",MD DERMATOLOGY,143300,1131 (1),1513 (1),1513 (1),-,1576 (1),1458 (1),1458 (1),-,-,1569 (1),1828 (1),-,-
All India Quota,SC,West Bengal,"Government Medical College, Kolkata",MD DERMATOLOGY,12000,1155 (1),1155 (1),1155 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Rajasthan,"Government Medical College, Kota",MD RADIODIAGNOSIS,12812,1167 (1),1167 (1),1167 (1),-,979 (1),979 (1),979 (1),-,-,-,-,-,-
All India Quota,SC,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD GENERAL MEDICINE,41000,1172 (3),1172 (3),1172 (3),-,547 (2),648 (2),648 (2),-,-,382 (2),382 (2),-,-
All India Quota,Open,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD PSYCHIATRY,124150,1189 (1),5197 (1),5197 (1),-,7666 (1),7666 (1),7666 (1),-,-,5927 (2),9291 (2),-,-
All India Quota,EWS,Telangana,"Gandhi Medical College, Secunderabad",MD GENERAL MEDICINE,25000,1098 (1),1098 (1),1165 (1),-,1063 (1),475 (1),475 (1),-,-,501 (1),501 (1),-,-
BHU,Open,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD GENERAL MEDICINE,48226,1123 (3),1123 (3),1746 (3),-,449 (3),1488 (3),1488 (3),-,-,1524 (2),1524 (2),8688 (1),-
All India Quota,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MS OBG,41000,1149 (2),1225 (2),1225 (2),-,1537 (3),1727 (3),1727 (3),-,-,1478 (2),2191 (2),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MS OBG,57600,1183 (3),1249 (3),1739 (3),-,1085 (2),1717 (2),1954 (2),-,-,1106 (2),1478 (2),-,-
All India Quota,OBC,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD GENERAL MEDICINE,160000,1112 (1),1112 (1),1112 (1),-,2300 (1),1541 (1),1541 (1),-,-,2531 (1),2523 (1),-,-
DU,OBC,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,1151 (1),1151 (1),1151 (1),-,3132 (1),3132 (1),3132 (1),-,-,1577 (1),1577 (1),-,-
All India Quota,EWS,Rajasthan,"SMS Medical College, Jaipur",MD GENERAL MEDICINE,11647,1102 (3),1102 (3),1529 (3),-,1224 (3),1224 (3),1224 (3),-,-,1521 (4),1795 (4),-,-
All India Quota,EWS,Madhya Pradesh,"Gandhi Medical College, Bhopal",MD RADIODIAGNOSIS,101500,1154 (1),1674 (1),1674 (1),-,1517 (1),1517 (1),1517 (1),-,-,-,-,-,-
All India Quota,Open,Andhra Pradesh,"Government Medical College, Kadapa",MD RADIODIAGNOSIS,15375,1173 (1),1428 (1),1977 (1),-,1277 (1),1872 (1),2014 (1),-,-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Thanjavur Medical College, Thanjavur",MD GENERAL MEDICINE,50000,1190 (2),2074 (2),2326 (2),3246 (1),1408 (3),2041 (3),1922 (3),-,-,1246 (3),1559 (3),2335 (2),-
All India Quota,EWS,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD PAEDIATRICS,41000,1099 (1),1099 (1),1099 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Andhra Pradesh,"SV Medical College, Tirupati",MD RADIODIAGNOSIS,15375,1152 (1),1376 (1),1805 (1),-,-,1570 (1),2086 (1),-,-,-,-,-,-
All India Quota,Open,Karnataka,"Hassan Institute of Medical Sciences, Hassan",MD DERMATOLOGY,124150,1176 (1),1546 (1),2344 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Assam,"Assam Medial College, Dibrugarh",MD RADIODIAGNOSIS,17900,1186 (2),1550 (2),1941 (2),-,1157 (2),1980 (2),2099 (2),-,-,1069 (1),1893 (1),-,-
All India Quota,Open,Maharashtra,"Government Medical College, Latur",MD DERMATOLOGY,143300,1143 (1),1781 (1),3259 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule",MD DERMATOLOGY,143300,1148 (1),2614 (1),3244 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MS ORTHOPAEDICS,143300,1097 (4),1844 (4),2918 (4),-,1086 (5),1086 (5),2448 (5),6458 (1),-,870 (4),870 (4),3539 (1),-
All India Quota,Open,Delhi,"Maulana Azad Medical College, New Delhi",MS ORTHOPAEDICS,57600,1140 (2),1140 (2),1578 (2),-,1263 (2),1419 (2),1513 (2),-,-,1282 (3),1300 (3),-,-
All India Quota,Open,Tamil Nadu,"Coimbatore Medical College, Coimbatore",MS GENERAL SURGERY,50000,1118 (1),1118 (1),9081 (2),-,6330 (5),8737 (5),10091 (5),-,-,5292 (3),5713 (3),8968 (2),11347 (1)
All India Quota,Open,Madhya Pradesh,"MGM Medical College, Indore",MD DERMATOLOGY,101500,1146 (1),1660 (1),1719 (1),-,1304 (2),1547 (2),1547 (2),-,-,-,-,-,-
All India Quota,Open,Kerala,"Government Medical College, Kottayam",MD PSYCHIATRY,69470,1185 (1),10471 (1),10471 (1),-,-,-,-,-,-,2591 (1),7729 (1),-,-
All India Quota,Open,Andhra Pradesh,"Government Medical College, Ananthapuram",MD RADIODIAGNOSIS,15375,1101 (3),1805 (3),2397 (3),-,1120 (2),1902 (2),2005 (2),-,-,-,-,-,-
All India Quota,Open,Maharashtra,"Dr. Vaishampayan Memorial Medical College, Solapur",MD GENERAL MEDICINE,143300,1124 (2),1630 (2),2301 (2),5181 (1),1314 (2),1380 (2),1965 (2),-,-,1554 (2),2225 (2),3504 (2),-
All India Quota,Open,Tamil Nadu,"Coimbatore Medical College, Coimbatore",MD DERMATOLOGY,50000,1100 (1),2200 (1),2200 (1),-,-,-,-,-,-,1054 (1),1054 (1),-,-
All India Quota,Open,Tamil Nadu,"Kilpauk Medical College, Chennai",MD GENERAL MEDICINE,50000,1106 (5),1720 (5),1962 (5),-,1313 (7),1773 (7),1773 (7),-,-,929 (5),1352 (5),2088 (2),-
All India Quota,EWS,West Bengal,"Government Medical College, Kolkata",MD GENERAL MEDICINE,12000,1111 (2),1111 (2),1111 (2),-,2555 (1),2661 (1),2661 (1),-,-,613 (1),1060 (1),-,-
All India Quota,Open,Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",MD DERMATOLOGY,30000,1147 (1),1441 (1),1441 (1),-,-,-,-,-,-,1339 (1),1525 (1),-,-
All India Quota,EWS,Gujarat,"Government Medical College, Bhavnagar",MD GENERAL MEDICINE,30000,1170 (1),1170 (1),2393 (1),-,2231 (1),2378 (1),2378 (1),-,-,-,-,-,-
All India Quota,OBC,Tamil Nadu,"Tirunelveli Medical College, Tirunelveli",MD DERMATOLOGY,50000,1210 (1),1210 (1),1210 (1),-,1912 (1),2370 (1),2370 (1),-,-,-,-,-,-
All India Quota,Open,Andhra Pradesh,"Guntur Medical College, Guntur",MD GENERAL MEDICINE,15375,1212 (4),1624 (4),1937 (4),-,1201 (5),1460 (5),1473 (5),-,-,786 (3),920 (3),-,-
DU,Open,Delhi,"VP Chest Institute of Medical Sciences, Delhi",MD PULMONARY MEDICINE,57600,1226 (1),1226 (1),1226 (1),-,4854 (1),4854 (1),4854 (1),-,-,4156 (2),4156 (2),-,-
All India Quota,SC,West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",MD GENERAL MEDICINE,12000,1255 (1),1255 (1),1255 (1),-,2314 (1),2314 (1),2314 (1),-,-,1189 (1),1189 (1),-,-
All India Quota,Open,Chandigarh,"Government Medical College, Chandigarh",MS GENERAL SURGERY,34500,1264 (3),1845 (3),1845 (3),-,1198 (1),1198 (1),1198 (1),-,-,1453 (2),1453 (2),-,-
DNB Quota,Open,Delhi,"Holy Family Hospital, New Delhi",DNB RADIODIAGNOSIS,125000,1252 (1),1277 (2),1277 (2),-,1693 (1),2167 (1),2167 (1),-,-,1877 (2),2306 (2),-,-
All India Quota,OBC,Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",MD GENERAL MEDICINE,125000,1204 (2),1533 (2),1740 (2),-,910 (3),1337 (3),2300 (3),-,-,762 (3),762 (3),-,-
DNB Quota,Open,Haryana,"Artemis Hospital, Gurgaon",DNB RADIODIAGNOSIS,125000,1238 (2),1238 (2),1415 (2),-,1629 (2),1841 (2),1841 (2),-,-,1570 (2),1571 (2),-,-
All India Quota,Open,Maharashtra,"Topiwala National Medical College, Mumbai",MS GENERAL SURGERY,143300,1262 (3),2520 (3),2896 (3),-,1133 (2),1142 (2),2235 (2),-,-,1068 (2),1593 (2),-,-
All India Quota,Open,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",MD GENERAL MEDICINE,188000,1273 (2),2113 (2),2732 (2),3802 (1),1223 (2),1949 (2),2046 (2),-,-,1487 (3),1679 (3),2626 (2),-
All India Quota,Open,Jammu & Kashmir,"Government Medical College, Jammu",MD DERMATOLOGY,25000,1208 (1),2471 (1),2471 (1),-,1674 (1),2801 (1),1086 (1),-,-,2070 (1),2070 (1),-,-
All India Quota,Open,Punjab,"Guru Govind Singh Medical College, Faridkot",MD GENERAL MEDICINE,125000,1231 (2),1677 (2),1677 (2),-,1925 (3),2401 (3),2401 (3),-,-,2061 (1),2061 (1),-,-
All India Quota,Open,Odisha,"MKCG Medical College, Berhampur",MD GENERAL MEDICINE,40000,1200 (5),1858 (5),1858 (5),-,897 (3),1713 (3),1713 (3),-,-,2011 (4),2464 (4),1839 (1),-
All India Quota,SC,Delhi,"Maulana Azad Medical College, New Delhi",MD RADIODIAGNOSIS,57600,1237 (2),1237 (2),1237 (2),-,430 (1),430 (1),430 (1),-,-,935 (2),935 (2),-,-
All India Quota,Open,Uttar Pradesh,"GSVM Medical College, Kanpur",MD GENERAL MEDICINE,40000,1243 (4),1243 (4),1419 (4),-,1031 (5),1639 (5),1639 (5),-,-,1387 (4),1848 (4),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MS ORTHOPAEDICS,57600,1268 (1),1421 (1),1421 (1),-,1113 (1),1113 (1),1113 (1),-,-,1300 (2),1461 (2),-,-
All India Quota,EWS,Andhra Pradesh,"Kurnool Medical College, Kurnool",MD GENERAL MEDICINE,15375,1195 (1),2569 (1),2569 (1),-,-,-,-,-,-,1328 (1),1328 (1),-,-
All India Quota,Open,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MS OBG,48226,1249 (1),1663 (1),1663 (1),-,1631 (1),2409 (1),2409 (1),-,-,1272 (1),1829 (1),-,-
All India Quota,EWS,Punjab,"Government Medical College, Amritsar",MD RADIODIAGNOSIS,125000,1256 (1),1256 (1),1959 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,Open,Delhi,"Joint Accr. Mahajan Imaging & Labs (Sir Ganga Ram Hospital), New Delhi",DNB RADIODIAGNOSIS,125000,1277 (2),1414 (2),1731 (2),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Rajasthan,"SMS Medical College, Jaipur",MD GENERAL MEDICINE,11647,1251 (8),1545 (8),1691 (8),-,1221 (8),1225 (8),1704 (8),2156 (1),3138 (1),1850 (7),2296 (7),-,-
All India Quota,Open,Maharashtra,"Government Medical College, Jalgaon",MD RADIODIAGNOSIS,143300,1259 (2),1393 (2),1657 (2),-,1169 (1),2110 (1),2680 (1),-,-,-,-,-,-
All India Quota,Open,Tamil Nadu,"KAP Viswanathan Government Medical College, Trichy",MD DERMATOLOGY,50000,1217 (1),2389 (1),2211 (1),-,-,-,-,-,-,1327 (1),1601 (1),-,-
All India Quota,Open,Kerala,"Government Medical College, Thiruvananthapuram",MD PULMONARY MEDICINE,69470,1199 (1),4298 (1),4298 (1),-,2436 (2),2529 (2),4279 (2),-,-,890 (1),890 (1),-,-
All India Quota,OBC,Andhra Pradesh,"Government Medical College, Ananthapuram",MD RADIODIAGNOSIS,15375,1233 (1),2135 (1),2607 (1),-,1510 (2),2613 (2),2818 (2),3495 (1),-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Thanjavur Medical College, Thanjavur",MD DERMATOLOGY,50000,1207 (1),2664 (1),2126 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,Open,Kerala,"Malabar Institute of Medical Sciences (Aster MIMS), Calicut",DNB RADIODIAGNOSIS,125000,1267 (2),1267 (2),1267 (2),-,1059 (2),1489 (2),1489 (2),-,-,792 (2),794 (2),-,-
All India Quota,Open,Kerala,"Government TD Medical College, Alappuzha",MD PULMONARY MEDICINE,69470,1275 (1),3926 (1),5737 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Tirunelveli Medical College, Tirunelveli",MD GENERAL MEDICINE,50000,1197 (3),1846 (3),1846 (3),-,1449 (4),1907 (4),2052 (4),-,-,1224 (4),1436 (4),-,-
All India Quota,Open,Telangana,"Kakatiya Medical College, Warangal",MD GENERAL MEDICINE,25000,1239 (4),1897 (4),2912 (4),-,1227 (6),2010 (6),2098 (6),-,-,1384 (4),1635 (4),1818 (1),-
All India Quota,Open,West Bengal,"Burdwan Medical College, Burdwan",MD GENERAL MEDICINE,12000,1254 (2),1368 (2),1904 (2),-,761 (2),1695 (2),1932 (2),-,-,1354 (3),2153 (3),-,-
All India Quota,EWS,Tamil Nadu,"Stanley Medical College, Chennai",MD RADIODIAGNOSIS,50000,1258 (1),1258 (1),1258 (1),-,-,-,-,-,-,-,-,-,-
