Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD RADIODIAGNOSIS,143300,89 (3),189 (3),242 (3),-,-,132 (2),185 (2),185 (2),-,191 (3),226 (3),-,-
DU,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,111 (1),111 (1),163 (1),-,-,500 (2),500 (2),500 (2),-,214 (2),214 (2),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD GENERAL MEDICINE,41000,83 (6),93 (6),93 (6),-,-,93 (4),93 (4),93 (4),-,80 (4),80 (4),-,-
All India Quota,Open,Tamil Nadu,"Stanley Medical College, Chennai",MD RADIODIAGNOSIS,50000,94 (1),94 (1),94 (1),-,-,379 (4),379 (4),379 (4),-,273 (3),273 (3),1617 (1),-
All India Quota,EWS,Delhi,"Maulana Azad Medical College, New Delhi",MD GENERAL MEDICINE,57600,66 (1),264 (1),405 (1),-,-,112 (1),112 (1),112 (1),-,85 (1),85 (1),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD DERMATOLOGY,41000,108 (1),108 (1),108 (1),-,-,-,-,-,-,177 (2),177 (2),-,-
All India Quota,EWS,Delhi,"Maulana Azad Medical College, New Delhi",MD RADIODIAGNOSIS,57600,218 (2),218 (2),218 (2),-,-,137 (1),145 (1),145 (1),-,128 (1),128 (1),-,-
All India Quota,EWS,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD RADIODIAGNOSIS,143300,230 (1),230 (1),230 (1),-,-,46 (1),46 (1),46 (1),-,-,-,-,-
All India Quota,EWS,Delhi,"Lady Hardinge Medical College, New Delhi",MD GENERAL MEDICINE,57600,194 (1),194 (1),194 (1),-,-,301 (1),509 (1),509 (1),-,-,-,-,-
All India Quota,OBC,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD RADIODIAGNOSIS,143300,229 (1),268 (1),268 (1),-,-,324 (1),686 (1),816 (1),-,330 (1),330 (1),-,-
All India Quota,Open,Kerala,"Government Medical College, Kozhikode",MD GENERAL MEDICINE,69470,148 (4),643 (4),642 (4),-,-,138 (5),138 (5),138 (5),-,194 (3),421 (3),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD GENERAL MEDICINE,57600,150 (4),166 (4),324 (4),-,-,117 (2),122 (2),122 (2),-,165 (3),165 (3),-,-
IPU,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD RADIODIAGNOSIS,41000,180 (5),180 (5),180 (5),-,-,300 (4),300 (4),300 (4),-,680 (4),680 (4),-,-
All India Quota,Open,Kerala,"Government Medical College, Thiruvananthapuram",MD RADIODIAGNOSIS,69470,202 (3),494 (3),494 (3),-,-,321 (1),321 (1),321 (1),-,147 (3),183 (3),-,-
All India Quota,Open,Rajasthan,"SMS Medical College, Jaipur",MD RADIODIAGNOSIS,11647,206 (5),206 (5),206 (5),-,-,421 (6),448 (6),448 (6),-,367 (6),661 (6),1021 (1),-
All India Quota,Open,West Bengal,"Government Medical College, Kolkata",MD RADIODIAGNOSIS,12000,152 (1),545 (1),605 (1),-,-,359 (1),878 (1),878 (1),-,415 (1),415 (1),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS OBG,41000,155 (6),155 (6),155 (6),-,-,460 (7),495 (7),860 (7),-,716 (6),839 (6),-,-
All India Quota,OBC,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD RADIODIAGNOSIS,72000,234 (1),234 (1),333 (1),-,-,166 (2),166 (2),166 (2),-,193 (1),193 (1),-,-
