State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Telangana,"Bhaskar Medical College, Yenkapally",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2005,72,600
Haryana,"Aarvy Healthcare, Gurugram",Private,NBEMS,2012,6,100
Uttar Pradesh,"Balrampur Hospital, Lucknow",Govt,NBEMS,1869,16,656
Kerala,"Amrita School of Medicine, Kochi",Deemed,"Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",2000,117,1400
Telangana,"Apollo Hospital, Hyderguda",Private,NBEMS,1988,4,150
Telangana,"Apollo Hospital, Jubilee Hills, Hyderabad",Private,NBEMS,1988,28,550
Maharashtra,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",Deemed,"Bharati Vidyapeeth University (Deemed), Pune",2005,98,780
Telangana,"Amrutha Childrens Hospital, Warangal",Private,NBEMS,0,3,100
Assam,"Apollo Excelcare Hospital, Guwahati",Private,NBEMS,1983,4,180
Tamil Nadu,"Apollo Proton Cancer Centre, Chennai",Private,NBEMS,2019,2,135
Tamil Nadu,"Apollo Speciality Hospitals, Ariyamangalam",Private,NBEMS,2010,2,150
Maharashtra,"Bharat Ratna Dr. Babasaheb Ambedkar Municipal General Hospital, Mumbai",Govt,NBEMS,1953,21,444
Haryana,"Adesh Medical College & Hospital, Shahabad, Kurukshetra",Private,"Pt. BD. Sharma University of Health Sciences, Rohtak",2017,50,750
Punjab,"Amandeep Hospital, Pathankot",Private,NBEMS,1990,3,110
Telangana,"Ankura Medical & Research Centre, Hyderabad",Private,NBEMS,2019,1,100
Andhra Pradesh,"Apollo Institute of Medical Sciences & Research, Chittoor",Private,"Dr. NTR University of Health Sciences, Vijayawada",2016,38,410
Madhya Pradesh,"Apollo Rajshree Hospitals, Indore",Private,NBEMS,2008,2,180
Kerala,"Baby Memorial Hospital, Kannur",Private,NBEMS,2022,4,160
Jharkhand,"Central Hospital, Dhanbad",Public Sector,NBEMS,1958,10,399
Punjab,"Dr. BR Ambedkar State Institute of Medical Sciences, Mohali",Govt,"Baba Farid University of Health Sciences, Faridkot",2021,20,330
Delhi,"Fortis Escorts Heart Institute, New Delhi",Private,NBEMS,1988,5,310
Rajasthan,"Geetanjali Medical College & Hospital, Udaipur",Private,"Geetanjali University , Udaipur",2008,155,1420
Chhattisgarh,"District Hospital, Kabirdham",Govt,NBEMS,1956,1,200
Maharashtra,"Armed Forces Medical College, Pune",AFMS,"Maharashtra University of Health Sciences, Nashik",1962,196,1086
Telangana,"Cure Well Hospital, Warangal",Private,NBEMS,2005,2,50
West Bengal,"Advanced Medicare & Research Institute (AMRI), Kolkata",Private,NBEMS,1996,6,300
Uttar Pradesh,"Anand Hospital, Meerut",Private,NBEMS,2007,2,225
Kerala,"Apollo Adlux Hospital, Angamaly",Private,NBEMS,2019,9,300
Uttar Pradesh,"Autonomous State Medical College, Pratapgarh",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,2,320
Telangana,"Aditya Hospitals, Boggulakunta, Hyderabad",Private,NBEMS,0,0,200
Haryana,"Alchemist Hospital, Panchkula",Private,NBEMS,2008,8,200
Karnataka,"Apollo BGS Hospital, Mysore",Private,NBEMS,2001,12,215
Karnataka,"Bhagwan Mahaveer Jain Hospital, Bangalore",Private,NBEMS,1990,12,200
Madhya Pradesh,"Cancer Hospital & Research Institute, Gwalior",Govt,NBEMS,1971,1,306
Telangana,"Ankura Hospital for Women & Children, Madinaguda, Hyderabad",Private,NBEMS,2012,2,75
Andhra Pradesh,"Area Hospital, Chirala",Govt,NBEMS,1978,1,120
Maharashtra,"Asha Hospital, Nagpur",Private,NBEMS,0,3,160
Tamil Nadu,"ACS Medical College & Hospital, Chennai",Deemed,"Dr. MGR Educational and Research Institute (Deemed), Chennai",2008,75,810
West Bengal,"AMRI Hospitals, Mukundapur, Kolkata",Private,NBEMS,2011,0,170
Haryana,"Aadhar Health Institute, Hisar",Private,NBEMS,2002,9,200
Delhi,"Aakash Healthcare Super Specialty Hospital, Delhi",Private,NBEMS,2011,13,200
Tamil Nadu,"Aarthi Hospital, Kovilpatti",Private,NBEMS,1994,6,150
Pondicherry,"Aarupadai Veedu Medical College, Pondicherry",Deemed,"Vinayaka Missions University (Deemed), Salem",1999,99,540
Tamil Nadu,"Abhi Eye Hospital, Attur",Private,NBEMS,2005,1,25
Odisha,"Acharya Harihar Regional Cancer Centre, Cuttack",Govt,"Utkal University, Bhubaneswar",1981,6,507
Karnataka,"Adichunchanagiri Institute of Medical Sciences, Bellur",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1985,125,1120
Kerala,"Ahalia Diabetes Hospital, Palakkad",Private,NBEMS,2003,10,50
Kerala,"Ahalia Foundation Eye Hospital, Palakkad",Private,NBEMS,2005,3,100
Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Private,"Al-Falah University, Faridabad",2019,61,300
Punjab,"Amandeep Medicity, Amritsar",Private,NBEMS,1990,6,500
Kerala,"Amardeep Eye Care, Kollam",Private,NBEMS,2005,2,20
Haryana,"Amrita School of Medicine, Faridabad",Deemed,"Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",2023,21,3100
Maharashtra,"Anand Rishiji Hospital & Medical Research Centre, Ahmednagar",Private,NBEMS,2001,6,260
Telangana,"Ankura Hospital for Women & Children, JNTU-Hi Tech City Road, Hyderabad",Private,NBEMS,2011,0,50
Uttar Pradesh,"Apex Hospital, Moradabad",Private,NBEMS,2018,4,100
Odisha,"Apollo Hospital, Bhubaneshwar",Private,NBEMS,1983,10,350
Karnataka,"Apollo Hospital, Sheshadripuram, Bangalore",Private,NBEMS,2015,0,200
Tamil Nadu,"Apollo KH Hospital, Melvisharam",Private,NBEMS,2003,4,100
Tamil Nadu,"Apollo Speciality Hospital, Madurai",Private,NBEMS,1997,9,250
Maharashtra,"Apple Saraswati Multispecialty Hospital, Kolhapur",Private,NBEMS,1994,7,200
Andhra Pradesh,"Area Hospital, Adoni",Govt,NBEMS,1967,2,200
Andhra Pradesh,"Area Hospital, Gudur",Govt,NBEMS,1964,2,180
Andhra Pradesh,"Area Hospital, Kadiri",Govt,NBEMS,1962,1,250
