State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Tamil Nadu,"Government Medical College, Kallakurichi",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,500
Haryana,"Dhir Hospital, Bhiwani",Private,NBEMS,1985,3,50
Karnataka,"District Hospital, Chikkaballapur",Govt,NBEMS,2000,13,100
Maharashtra,"District Women Hospital, Amravati",Govt,NBEMS,0,8,150
West Bengal,"Divisional Railway Hospital, Asansol",Public Sector,NBEMS,1920,1,200
Tamil Nadu,"Dr. Agarwals Eye Hospital, Tirunelveli",Private,NBEMS,2006,3,25
Rajasthan,"Government Medical College, Kota",Govt,"Rajasthan University of Health Sciences, Jaipur",1992,188,2985
Rajasthan,"ESIC Model Hospital, Jaipur",Govt,NBEMS,0,9,0
Andhra Pradesh,"Government District Hospital, Chenchupet",Govt,NBEMS,1965,2,250
Telangana,"ESIC Medical College, Sanath Nagar, Hyderabad",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2016,87,800
Uttar Pradesh,"Felix Hospital, Noida",Private,NBEMS,2008,7,200
Gujarat,"General Hospital - Sub District Hospital, Deesa",Govt,NBEMS,1965,2,100
Telangana,"Gleneagles Global Hospital, Hyderabad",Private,NBEMS,1999,0,300
Rajasthan,"Government Medical College, Dausa",Govt,"Rajasthan University of Health Sciences, Jaipur",2023,0,500
Jammu & Kashmir,"Government Medical College, Jammu",Govt,"Jammu University, Jammu",1972,207,0
West Bengal,"District Hospital, Darjeeling",Govt,NBEMS,1864,8,450
West Bengal,"District Hospital, Howrah",Govt,NBEMS,1876,18,600
Odisha,"Fakir Mohan Government Medical College & Hospital, Balasore",Govt,"Fakir Mohan Univeristy, Balasore",2018,0,360
Gujarat,"Government Medical College, Morbi",Govt,"Saurashtra University, Rajkot",2022,0,500
Kerala,"Government Medical College, Thiruvananthapuram",Govt,"Kerala University of Health Sciences, Thrissur",1951,254,1952
Andhra Pradesh,"Government Medical College, Machilipatnam",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2023,0,500
Odisha,"Hi Tech Medical College & Hospital, Bhubaneswar",Private,"Utkal University, Bhubaneswar",2005,87,500
Punjab,"Indus International Hospital, Mohali",Private,NBEMS,1988,10,195
Jammu & Kashmir,"Government Medical College, Rajouri",Govt,"Jammu University, Jammu",2019,13,300
Telangana,"Dr. Patnam Mahender Reddy Institute of Medical Sciences, Chevella, Rangareddy",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2019,66,750
Assam,"Diphu Medical College & Hospital, Diphu",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",2020,0,550
Karnataka,"District Hospital, Bagalkot",Govt,NBEMS,1963,10,250
Andhra Pradesh,"Gayathri Vidya Parishad Inst. of Health Care & Medical Technology, Visakhapatnam",Private,"Dr. NTR University of Health Sciences, Vijayawada",2016,46,300
Uttar Pradesh,"Government Medical College, Faizabad",Govt,"King Georges Medical University, Lucknow",2019,0,500
Tamil Nadu,"GEM Hospital & Research Centre, Coimbatore",Private,NBEMS,1992,0,200
Gujarat,"GMERS Medical College, Vadnagar, Mehsana",Govt-Private,"Hemchandracharya North Gujarat University, Patan",2017,22,550
Uttar Pradesh,"District Male Hospital, Basti",Govt,NBEMS,1934,4,300
Maharashtra,"Dr. DY Patil Medical College, Kolhapur",Deemed,"DY Patil Education Society (Deemed), Kolhapur",1989,77,2400
Andhra Pradesh,"Gitam Institute of Medical Sciences & Research, Visakhapatnam",Deemed,"Gandhi Institute of Technology and Management (GITAM) (Deemed), Visakhapatnam",2015,52,750
Gujarat,"GMERS Medical College, Valsad",Govt-Private,"Veer Narmad South Gujarat University, Surat",2012,22,500
Rajasthan,"Government Medical College, Bundi",Govt,"Rajasthan University of Health Sciences, Jaipur",2023,0,500
Assam,"Down Town Hospital, Guwahati",Private,NBEMS,1989,11,300
Rajasthan,"Dr. Kamdar Eye Hospital, Jodhpur",Private,NBEMS,2004,2,25
West Bengal,"Durgapur Sub Divisional Hospital, Durgapur",Govt,NBEMS,1978,6,250
Tamil Nadu,"Government Head Quarters Hospital, Nagapattinam",Govt,NBEMS,0,0,545
West Bengal,"District Hospital, Alipurduar",Govt,NBEMS,2016,10,300
Delhi,"Fortis Hospital, Vasant Kunj",Private,NBEMS,2001,3,162
Punjab,"Gian Sagar Medical College & Hospital, Patiala",Private,"Baba Farid University of Health Sciences, Faridkot",2020,8,500
Tamil Nadu,"Government Headquarters Hospital (Now Govt Medical College), Krishnagiri",Govt,NBEMS,2021,0,500
Tamil Nadu,"Government Thiruvannamalai Medical College, Thiruvannamalai",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2013,30,440
Delhi,"Hindu Rao Hospital, Delhi",Govt,"Delhi University, Delhi",1951,32,832
Telangana,"Government Medical College, Nizamabad",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2013,73,800
Telangana,"Government Medical College, Kumuram Bheem, Asifabad",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,500
Tamil Nadu,"Government Periyar Hospital, Mayiladuthurai",Govt,NBEMS,1965,3,550
Maharashtra,"Government Medical College, Nandurbar",Govt,"Maharashtra University of Health Sciences, Nashik",2020,10,0
Tamil Nadu,"Government Medical College, Ramanathapuram",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,500
Rajasthan,"Eternal Heart Care Centre & Research Institute, Jaipur",Private,NBEMS,2013,7,250
Uttar Pradesh,"Government Institute of Medical Sciences, Kasna, Greater Noida",Govt,"King Georges Medical University, Lucknow",2019,60,0
Tamil Nadu,"G Kuppuswamy Naidu Memorial Hospital, Coimbatore",Private,NBEMS,1952,25,600
Rajasthan,"Government Medical College, Karauli",Govt,"Rajasthan University of Health Sciences, Jaipur",2023,0,500
Punjab,"District Hospital, Fatehgarh Sahib",Govt,NBEMS,0,1,100
Tamil Nadu,"Government Head Quarters Hospital, Perambalur",Govt,NBEMS,1965,8,300
Madhya Pradesh,"District Hospital, Morena",Govt,NBEMS,1956,2,350
Gujarat,"General Hospital, Nadiad",Govt,NBEMS,0,0,160
West Bengal,"Government Medical College & Hospital, Jhargram",Govt,"West Bengal University of Health Sciences, Kolkata",2022,0,250
Uttar Pradesh,"Government Medical College, Firozabad",Govt,"King Georges Medical University, Lucknow",2019,25,500
Maharashtra,"District Hospital, Bhandara",Govt,NBEMS,1969,4,300
Andhra Pradesh,"Dr. PSI Medical College, Chinoutpalli",Private,"Dr. NTR University of Health Sciences, Vijayawada",2002,121,800
Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda",Govt,"Himachal Pradesh University, Shimla",1996,101,0
Uttar Pradesh,"Era Lucknow Medical College, Lucknow",Private,"Dr. Ram Manohar Lohia Avadh University, Faizabad",1997,115,750
Uttar Pradesh,"Fortune Hospital, Kanpur",Private,NBEMS,2001,3,100
Karnataka,"General Hospital, Pavagada, Tumakuru",Govt,NBEMS,1916,2,500
West Bengal,"Gouri Devi Institute of Medical Sciences & Hospital, Durgapur",Private,"West Bengal University of Health Sciences, Kolkata",2016,53,300
Odisha,"Dr. Agarwals Eye Hospital, Cuttack",Private,NBEMS,2001,2,25
Haryana,"Fortis Memorial Research Institute, Gurgaon",Private,NBEMS,2009,8,310
Maharashtra,"Government Medical College, Parbhani",Govt,"Maharashtra University of Health Sciences, Nashik",2023,0,321
Gujarat,"GRD & KMM Instt. of Kidney Diseases Dr. HLT Instt. of Transplantation, Ahmedabad",Govt,"Gujarat University of Transplantation Sciences, Ahmedabad",1997,6,200
Delhi,"Indraprastha Apollo Hospital, New Delhi",Private,NBEMS,1995,30,718
Telangana,"Government Medical College, Mahabubnagar",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2016,30,750
Telangana,"Government Medical College, Nalgonda",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2019,22,750
Maharashtra,"HCG Manavata Cancer Centre, Nashik",Private,NBEMS,2007,3,200
Bihar,"Indira Gandhi Institute of Cardiology, Patna",Govt,NBEMS,1985,0,150
Rajasthan,"Guru Hasti Chikitsalya, Pipar City",Private,NBEMS,0,1,0
Maharashtra,"Hiranandani Hospital, Navi Mumbai",Private,NBEMS,1972,3,150
Andhra Pradesh,"Guntur Medical College, Guntur",Govt,"Dr. NTR University of Health Sciences, Vijayawada",1946,189,1204
West Bengal,"Indian Institute of Liver & Digestive Sciences, Sonarpur",Govt,NBEMS,2013,0,250
Karnataka,"Institute of Aerospace Medicine Indian Air Force, Bangalore",AFMS,"Rajiv Gandhi University of Health Sciences, Bangalore",1957,10,0
Telangana,"Fernandez Hospital, Banjara Hills, Hyderabad",Private,NBEMS,2016,1,320
Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2011,99,0
Andhra Pradesh,"Government Medical College, Kadapa",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2006,118,0
Tamil Nadu,"Ganga Medical Centre & Hospital, Coimbatore",Private,NBEMS,1975,12,475
Jammu & Kashmir,"Government Medical College, Kathua",Govt,"Jammu University, Jammu",2019,21,500
West Bengal,"Dinhata Sub-Divisional Hospital, Cooch Behar",Govt,NBEMS,1972,5,250
West Bengal,"District Hospital, Jalpaiguri",Govt,NBEMS,0,0,610
Andhra Pradesh,"Dr. Anji Reddy Multi Speciality Hospitals, Piduragalla",Private,NBEMS,2010,2,150
Maharashtra,"Dr. Babasaheb Ambedkar Central Railway Hospital, Mumbai",Public Sector,NBEMS,2020,20,366
Karnataka,"General Hospital, Chintamani, Chikkaballapur",Govt,NBEMS,1956,2,300
West Bengal,"Government Medical College & Hospital, Rampurhat",Govt,"West Bengal University of Health Sciences, Kolkata",2019,13,2013
Uttar Pradesh,"District Combined Hospital, Sec 39, Noida",Govt,NBEMS,0,3,240
Andhra Pradesh,"Government Medical College, Eluru",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2023,0,500
West Bengal,"Diamond Harbour Government Medical College & Hospital, Harindanga",Govt,"West Bengal University of Health Sciences, Kolkata",2019,26,550
Ladakh,"District Hospital, Kargil, Ladakh",Govt,NBEMS,2022,4,300
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Vijayawada",Private,NBEMS,1980,3,150
Jharkhand,"Dumka Medical College, Dighi Dumka",Govt,"Sidho Kanhu Murmu University, Dumka",2019,0,500
Haryana,"Fortis Escorts Hospital, Faridabad",Private,NBEMS,1988,13,210
Rajasthan,"Government District Hospital, Ajmer",Govt,NBEMS,1952,2,400
Tamil Nadu,"Government Head Quarters Hospital, Virudhunagar",Govt,NBEMS,0,0,326
Himachal Pradesh,"Dr. Radhakrishnan Government Medical College, Hamirpur",Govt,"Himachal Pradesh University, Shimla",2018,10,300
Kerala,"EMS Memorial Co-Operative Hospital & Research Centre, Perinthalmanna",Private,NBEMS,1998,15,540
Gujarat,"GCS Medical College, Ahmedabad",Private,"Gujarat University, Ahmedabad",2011,90,0
Tamil Nadu,"Dhanalakshmi Srinivasan Medical College & Hospital, Siruvachur, Perambalur",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2011,84,750
Karnataka,"General Hospital, Bangalore",Govt,NBEMS,1985,20,300
Karnataka,"Government District Hospital, Udupi",Govt,NBEMS,1961,1,194
Tamil Nadu,"Government Medical College, Tiruppur",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,300
Andhra Pradesh,"Government Medical College, Vizianagaram",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2023,0,500
Rajasthan,"Indira IVF Hospital, Udaipur",Private,NBEMS,1988,0,25
Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Govt,"Himachal Pradesh University, Shimla",1966,152,872
Rajasthan,"Government Medical College, Pali, Rajasthan",Govt,"Rajasthan University of Health Sciences, Jaipur",2018,37,500
Telangana,"Gandhi Medical College, Secunderabad",Govt,"Dr. NTR University of Health Sciences, Vijayawada",1954,217,2200
Karnataka,"General Hospital, KGF",Govt,NBEMS,1954,1,250
Maharashtra,"Government Medical College, Alibag",Govt,"Maharashtra University of Health Sciences, Nashik",2021,18,500
Chhattisgarh,"District Hospital, Pandari, Raipur",Govt,NBEMS,1956,8,500
Gujarat,"General Hospital, Jamkhambhaliya",Govt,NBEMS,1960,2,150
Jammu & Kashmir,"Government Medical College, Handwara",Govt,"University of Kashmir, Srinagar",2023,19,500
West Bengal,"Dr. BN Bose Sub Divisional Hospital, Barrackpur",Govt,NBEMS,1993,2,200
West Bengal,"ESIC Medical College, Joka, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",2013,31,500
Karnataka,"Fortis Hospital, Bannerghatta Road, Bangalore",Private,NBEMS,0,15,284
Karnataka,"General Hospital, Shikaripura",Govt,NBEMS,1963,4,150
Rajasthan,"Government Medical College, Barmer",Govt,"Rajasthan University of Health Sciences, Jaipur",2019,0,500
Telangana,"Government Medical College, Bhadradri Kothagudem",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2021,0,500
Rajasthan,"Government Medical College, Bhilwara",Govt,"Rajasthan University of Health Sciences, Jaipur",2018,22,500
Telangana,"Government Medical College, Jangaon",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,300
West Bengal,"Dishari Health Point, Mokdumpur",Private,NBEMS,2004,6,126
Uttar Pradesh,"Divisional District Hospital, Azamgarh",Govt,NBEMS,0,10,312
Haryana,"ESIC Medical College, Faridabad",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",2015,87,0
Rajasthan,"Government Medical College, Chittorgarh",Govt,"Rajasthan University of Health Sciences, Jaipur",2022,0,500
Haryana,"District Civil Hospital, Ambala",Govt,NBEMS,0,1,0
Madhya Pradesh,"District Hospital, Guna",Govt,NBEMS,1956,2,350
Maharashtra,"Dr. Rajendra Gode Medical College & Hospital, Amravati",Private,NBEMS,2004,4,500
Haryana,"General Hospital, Panchkula",Govt,NBEMS,0,40,0
Kerala,"Government Medical College, Ernakulam",Govt,"Kerala University of Health Sciences, Thrissur",2000,11,700
Delhi,"Guru Gobind Singh Government Hospital, Delhi",Govt,NBEMS,1987,6,300
Uttar Pradesh,"Hind Institute of Medical Sciences, Barabanki",Private,"Dr. Ram Manohar Lohia Avadh University, Faizabad",2009,71,500
Haryana,"Holy Heart Super Speciality & Trauma Centre, Rohtak",Private,NBEMS,2011,0,54
Karnataka,"Indira Gandhi Institute of Child Health, Bangalore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1985,0,450
Andhra Pradesh,"Government Medical College, Nandyal",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2023,0,500
Kerala,"Government Medical College, Kozhikode",Govt,"Kerala University of Health Sciences, Thrissur",1957,215,3025
Karnataka,"General Hospital, Holenarasipura, Hassan",Govt,NBEMS,1939,4,500
Rajasthan,"Government Mahatma Gandhi District Hospital, Banswara",Govt,NBEMS,1965,5,350
Rajasthan,"Government Medical College, Dholpur",Govt,"Rajasthan University of Health Sciences, Jaipur",2022,0,600
Chhattisgarh,"District Hospital, Kanker",Govt,NBEMS,1963,1,220
Maharashtra,"Dr. Ulhas Patil Medical College & Hospital, Jalgaon",Private,"Maharashtra University of Health Sciences, Nashik",2008,55,1200
West Bengal,"Government Medical College, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1838,253,2668
Maharashtra,"District Hospital, Beed",Govt,NBEMS,1950,4,450
Madhya Pradesh,"District Hospital, Sehore",Govt,NBEMS,1992,4,250
Gujarat,"Dr. Kiran C. Patel Medical College & Research Institute, Bharuch",Private,"Veer Narmad South Gujarat University, Surat",2020,0,0
Punjab,"ESIC Model Hospital, Ludhiana",Govt,NBEMS,1979,4,100
Tamil Nadu,"Government Medical College, Karur",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2019,0,300
Odisha,"Fakir Mohan Medical College & Hospital, Balasore",Govt,NBEMS,2018,22,500
Karnataka,"Gadag Institute of Medical Sciences, Mallasamudra, Gadag",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,53,350
Assam,"Dr. B Borooah Cancer Institute (Regional Cancer Centre), Guwahati",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",0,5,0
Telangana,"Ekashilaa Hospitals (Formerly Maxcare Hospital), Hanamkonda",Private,NBEMS,2009,9,200
Gujarat,"GMERS Medical College, Junagadh",Govt-Private,"Saurashtra University, Rajkot",2015,32,750
Kerala,"Government Medical College, Kollam",Govt,"Kerala University of Health Sciences, Thrissur",2017,8,500
Gujarat,"Divyam Hospital, Surat",Private,NBEMS,2004,1,100
Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",Govt,"King Georges Medical University, Lucknow",2012,103,0
Jammu & Kashmir,"Government Medical College, Baramulla",Govt,"Kashmir University, Srinagar",2019,45,300
Kerala,"Government Medical College, Konni, Pathanamthitta",Govt,"Kerala University of Health Sciences, Thrissur",2022,0,300
Delhi,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",Govt,"Guru Gobind Singh Indraprastha University, Delhi",2016,37,540
Telangana,"Durgabai Deshmukh Hospital, Hyderabad",Private,NBEMS,1962,10,200
Karnataka,"General Hospital, Doddaballapura",Govt,NBEMS,0,3,100
West Bengal,"Habra State General Hospital, Habra",Govt,NBEMS,1969,6,300
Assam,"Haji Abdul Majid Memorial Hospital & Research Center, Hojai",Private,NBEMS,2005,13,250
Maharashtra,"Government Medical College, Sindhudurg",Govt,"Maharashtra University of Health Sciences, Nashik",2021,5,500
West Bengal,"Healthworld Hospital, Durgapur",Private,NBEMS,2017,16,300
Uttar Pradesh,"Homi Bhabha Cancer Hospital, Varanasi",Govt,"Mahatma Gandhi Kashi Vidyapith, Varanasi",2019,18,150
Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",Govt,"Maharashtra University of Health Sciences, Nashik",1968,157,822
Telangana,"Indo American Cancer Institute & Research Centre, Hyderabad",Private,NBEMS,2000,10,150
Tamil Nadu,"Government Medical College, The Nilgiris",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,300
Gujarat,"General Hospital, Vyara",Govt,NBEMS,1984,1,0
Assam,"GNRC Hospital, Dispur",Private,NBEMS,1989,0,150
West Bengal,"Government Medical College & Hospital, Raiganj",Govt,"West Bengal University of Health Sciences, Kolkata",2019,5,250
Delhi,"Dr. Shroff's Charity Eye Hospital, Daryaganj",Private,NBEMS,1922,5,56
Andhra Pradesh,"Government Area Hospital, Narsipatnam",Govt,NBEMS,1962,2,160
Andhra Pradesh,"Government General Hospital, Nandyal",Govt,NBEMS,1988,17,200
Telangana,"Fehmicare Hospital, Hyderabad",Private,NBEMS,2010,1,105
Tamil Nadu,"Frontier Lifeline Hospital, Chennai",Private,NBEMS,2002,0,120
Uttar Pradesh,"Gangasheel Advanced Medical Research Institute, Bareilly",Private,NBEMS,2009,6,450
Tamil Nadu,"Dr. Jeyasekharan Hospital & Nursing Home, Nagercoil",Private,NBEMS,1965,7,500
Karnataka,"General Hospital, Kanakapura, Ramanagara",Govt,NBEMS,1964,2,250
Tamil Nadu,"Government Head Quarters Hospital, Erode",Govt,NBEMS,1955,11,500
Maharashtra,"Government Medical College, Akola",Govt,"Maharashtra University of Health Sciences, Nashik",2002,80,680
Punjab,"Dr. Om Parkash Eye Institute, Amritsar",Private,NBEMS,1995,2,100
Karnataka,"Gopala Gowda Shanthaveri Memorial Hospital, Mysore",Private,NBEMS,1978,6,253
Punjab,"Emergency Medical Care(EMC) Hospital, Amritsar",Private,NBEMS,2003,2,200
Tamil Nadu,"Global Hospital & Health City, Chennai",Private,NBEMS,1999,3,1000
Andhra Pradesh,"Government General Hospital, Eluru",Govt,NBEMS,1952,6,450
Telangana,"District Hospital, Gollaguda",Govt,NBEMS,0,6,550
Maharashtra,"Dr. Rajendra Gode Medical College, Amravati",Private,"Maharashtra University of Health Sciences, Nashik",2023,0,350
Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Govt,"Jiwaji University, Gwalior",1946,175,1100
Rajasthan,"Government Medical College, Alwar",Govt,"Rajasthan University of Health Sciences, Jaipur",2023,0,500
Maharashtra,"Government Medical College, Osmanabad",Govt,"Maharashtra University of Health Sciences, Nashik",0,3,430
Gujarat,"Gujarat Institute of Mental Health Hospital, Ahmedabad",Govt,NBEMS,1951,4,700
Karnataka,"Hosmat Hospital, Bangalore",Private,NBEMS,1994,4,500
Gujarat,"Government Medical College, Porbandar",Govt,"Bhakta Kavi Narsing Mehta University, Bikha Roa, Khadia",2022,0,500
Andhra Pradesh,"Government Medical College, Rajamahendravaram",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2023,0,800
Delhi,"Indian Spinal Injuries Centre, Delhi",Private,NBEMS,1995,2,200
Gujarat,"Gujarat MRI Centre, Navarangpura",Private,NBEMS,2000,2,0
Punjab,"Homi Bhabha Cancer Hospital, Sangrur",Govt,"Baba Farid University of Health Sciences, Faridkot",2022,4,179
West Bengal,"ICARE Institute of Medical Sciences & Research, Haldia",Private,"West Bengal University of Health Sciences, Kolkata",2011,50,400
Madhya Pradesh,"Government Medical College, Satna",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2023,0,250
Maharashtra,"Dr. Shankarrao Chavan Government Medical College, Nanded",Govt,"Maharashtra University of Health Sciences, Nashik",1988,107,600
West Bengal,"Gabberia State General Hospital, Gabberia",Govt,NBEMS,1976,2,200
Tamil Nadu,"Government Medical College, Dindigul",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,500
Chhattisgarh,"Government Medical College, Korba",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2020,0,500
Karnataka,"District Hospital, Tumakuru",Govt,NBEMS,1948,21,400
Uttar Pradesh,"District Women Hospital, Raebareli",Govt,NBEMS,1996,1,200
Tamil Nadu,"Dr. Kamakshi Memorial Hospital, Chennai",Private,NBEMS,2004,29,300
Maharashtra,"Gleneagles Hospitals - Super Speciality & Transplant Centre, Mumbai",Private,NBEMS,1999,0,450
Punjab,"Gian Sagar Medical College, Patiala",Private,"Baba Farid University of Health Sciences, Faridkot",2020,0,680
Gujarat,"GMERS Medical College, Gotri, Vadodara",Govt-Private,MS University of Baroda,2011,83,750
Maharashtra,"Dr. LH Hiranandani Hospital, Mumbai",Private,NBEMS,2007,18,244
Tamil Nadu,"Dr. Rangarajan Memorial Hospital, Chennai",Private,NBEMS,1995,18,220
Delhi,"GB Pant Institute of Postgraduate Medical Education & Research, New Delhi",Govt,"Delhi University, Delhi",1964,11,714
Rajasthan,"Government DB General District Hospital, Churu",Govt,NBEMS,1955,22,250
Rajasthan,"Government Medical College, Bharatpur",Govt,"Rajasthan University of Health Sciences, Jaipur",2018,48,500
Tamil Nadu,"Dhanalakshmi Srinivasan Institute of Medical Sciences & Hospital, Thuraiyur Road, Perambalur",Private,"Dhanalakshmi Srinivasan University, Tiruchirappali",2023,0,650
Telangana,"Dr. Raos ENT Super Speciality Hospitals, Hyderabad",Private,NBEMS,1995,2,100
Rajasthan,"Government General Hospital, Madhopur",Govt,NBEMS,2013,28,100
Uttar Pradesh,"Government Medical College & Super Facility Hospital, Azamgarh",Govt,"King Georges Medical University, Lucknow",2013,40,500
Rajasthan,"Government Medical College, Churu",Govt,"Rajasthan University of Health Sciences, Jaipur",1992,7,500
Karnataka,"GR Medical College Hospital & Research Centre, Mangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2021,0,330
Maharashtra,"Indian Institute of Medical Science & Research, Jalna",Private,"Maharashtra University of Health Sciences, Nashik",2013,46,500
Gujarat,"Haria LG Rotary Hospital, Vapi",Private,NBEMS,1977,2,200
Punjab,"Guru Govind Singh Medical College, Faridkot",Govt,"Baba Farid University of Health Sciences, Faridkot",1973,105,1000
Odisha,"Government Medical College, Sundargarh",Govt,"Sambalpur University, Burla",2021,0,500
Karnataka,"Hindustan Aeronautics Hospital, Bangalore",Private,NBEMS,1968,6,218
Maharashtra,"Government Medical College, Nagpur",Govt,"Maharashtra University of Health Sciences, Nashik",1947,263,1886
Maharashtra,"Government Medical College, Satara",Govt,"Maharashtra University of Health Sciences, Nashik",2021,3,500
Bihar,"Ford Hospital & Research Centre, Patna",Private,NBEMS,2007,4,100
Punjab,"Fortis Hospital, Mohali",Private,NBEMS,2001,18,360
Kerala,"Government General Hospital, Ernakulam",Govt,NBEMS,1845,4,783
Tamil Nadu,"Government Head Quarters Hospital, Pollachi",Govt,NBEMS,1944,8,150
Rajasthan,"Government Medical College & Bangur Hospital, Pali",Govt,NBEMS,2020,14,720
Delhi,"Dr. BL Kapur Memorial Hospital, New Delhi",Private,NBEMS,1959,20,650
Maharashtra,"Dr. Hedgewar Rugnalaya, Aurangabad",Private,NBEMS,1989,13,304
Tamil Nadu,"Government Dharmapuri Medical College, Dharmapuri",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2008,44,600
Karnataka,"Dr. Chandramma Dayananda Sagar Institute of Medical Education & Research, Hubli",Private,"Dayananda Sagar University, Bangalore",2020,8,635
Kerala,"Dr. Moopen's Medical College, Wayanad",Private,"Kerala University of Health Sciences, Thrissur",2013,16,750
Rajasthan,"Dr. SS Tantia Medical College, Sri Ganganagar",Private,"Tantia Univeristy, Sri Ganganagar",2021,0,300
Maharashtra,"Government Medical College & District Hospital, Ratnagiri",Govt,"Maharashtra University of Health Sciences, Nashik",2023,0,500
Rajasthan,"District Hospital, Pratapgarh, Rajasthan",Govt,NBEMS,1965,6,250
Kerala,"Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam",Private,"Kerala University of Health Sciences, Thrissur",2001,41,650
Maharashtra,"ESI PGIMSR & ESI Hospital, Parel, Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",2009,6,0
Uttar Pradesh,"Divine Heart & Multispecialty Hospital, Lucknow",Private,NBEMS,2003,2,110
Rajasthan,"Government Medical College & Associated Group of Hospitals, Dungarpur",Govt,NBEMS,2018,15,600
Bihar,"Government Medical College, Purnea",Govt,"Aryabhatta Knowledge University, Patna",2023,5,500
Gujarat,"HCG Hospital, Ahmedabad",Private,NBEMS,2007,2,300
Gujarat,"HCG Cancer Centre, Ahmedabad",Private,NBEMS,2012,1,200
Maharashtra,"HBT Medical College & Dr. RN Cooper Municipal General Hospital, Juhu, Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",2015,60,636
Kerala,"Government Medical College, Palakkad",Govt,"Kerala University of Health Sciences, Thrissur",2014,12,544
Odisha,"HCG Panda Cancer Hospital, Cuttack",Private,NBEMS,2013,1,130
Rajasthan,"Government Medical College, Sri Ganganagar",Govt,"Rajasthan University of Health Sciences, Jaipur",2022,0,500
West Bengal,"Institute of Child Health, Kolkata",Private,"West Bengal University of Health Sciences, Kolkata",1956,17,200
Gujarat,"Dr. ND Desai Faculty of Medical Science & Research, Nadiad",Private,"Dharmsinh Desai University, Nadiad",2019,57,300
Kerala,"Edappal Hospital, Edappal",Private,NBEMS,1990,2,288
Maharashtra,"Galaxy Care Multispeciality Hospital, Pune",Private,NBEMS,2005,0,100
Rajasthan,"General Hospital, Jalore",Govt,NBEMS,1952,2,200
Rajasthan,"Government Amrit Kaur Hospital, Beawar",Govt,NBEMS,1950,6,200
Uttar Pradesh,"District Combined Hospital, Sec 23, Ghaziabad",Govt,NBEMS,0,2,0
Andhra Pradesh,"GMR Varalakshmi Care Hospital, Srikakulam",Private,NBEMS,2012,4,200
Tamil Nadu,"Government Medical College & ESIC Hospital, Coimbatore",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2016,5,500
Kerala,"Government Medical College, Idukki",Govt,"Kerala University of Health Sciences, Thrissur",2014,0,500
West Bengal,"Domkal Sub Divisional & Super Speciality Hospital, Murshidabad",Govt,NBEMS,2015,4,250
