Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
1,1142,Karnataka,"NarayanaHrudyalaya,Bommasandra",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 56,250",0,? 0,2000,
1,1143,Karnataka,"Mandya IMS, Mandya",RADIO DIAGNOSIS,AIQ,OBC,"?1,23,400","? 56,250",1,"?50,00,000",910,
1,1144,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",RADIO DIAGNOSIS,AIQ,GEN,"?1,01,500","? 75,444",1,"?10,00,000",1150,
1,1145,Bihar,"IGIMS, Patna",GENERAL MEDICINE,AIQ,OBC,"?1,60,000","?1,22,878",0,? 0,1170,
1,1146,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",1466,
1,1147,Uttar Pradesh,"SN Med Coll, Agra",GENERAL MEDICINE,AIQ,GEN,"?24,000","?1,10,646",2,"?40,00,000",976,
1,1148,Karnataka,"Mysore Med Coll, Mysore",GENERAL SURGERY,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",1050,
1,1149,Jammu and Kashmir,"Govt Med Coll, Srinagar",RADIO DIAGNOSIS,AIQ,GEN,"?32,500","? 63,240",0,?0,3120,
1,1151,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,AIQ,GEN,"?15,000","? 67,032",1,"? 2,000,000",1200,
1,1152,Gujarat,"Govt Med Coll, Bhavnagar",DERMATOLOGY,AIQ,GEN,"?30,000","? 100,800",1,"?40,00,000",720,
1,1153,Himachal Pradesh,"RPG, Tanda",RADIO DIAGNOSIS,AIQ,GEN,"?24,000","?40,000",2,"?40,00,000",828,
1,1154,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,AIQ,SC,"?34,500","?1,09,926",0,? 0,967,
1,1156,Delhi,"St Stephen's Hospital, Delhi",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"? 125,000","? 58,000",0,? 0,595,
1,1157,Gujarat,"PDU Med Coll, Rajkot",DERMATOLOGY,AIQ,GEN,"?30,000","? 100,800",1,"?40,00,000",750,
1,1158,Kerala,"Medical College, Trivandrum",PAEDIATRICS,AIQ,GEN,"?69,470","? 57,876",1,"?50,00,000",2126,
1,1159,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL MEDICINE,AIQ,GEN,"?12,000","? 61,634",3,"?30,00,000",1663,
1,1160,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL SURGERY,AIQ,GEN,"?48,226","?1,12,054",0,? 0,2424,
1,1161,Maharashtra,"Govt Med Coll, Jalgaon",RADIO DIAGNOSIS,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",441,
1,1162,Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,AIQ,GEN,"?1,22,522","?80,000",1,"?50,00,000",1160,
1,1163,Gujarat,"Apollo Hospital,Gandhinagar",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","?1,00,800",0,? 0,300,
1,1164,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,AIQ,GEN,"?27,300","?55,200",2,"?20,00,000",2185,
1,1165,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,AIQ,GEN,"?69,470","? 57,876",1,"?50,00,000",3025,
1,1166,Delhi,"Holy Family Hospital, Delhi",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 82,150",0,? 0,345,
1,1167,Maharashtra,"Seth GS, Mumbai",ORTHOPAEDICS,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",2250,
1,1168,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,AIQ,GEN,"?11,000","? 80,000",0,?0,1200,
1,1169,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",1466,
1,1170,Pondicherry,"IGMC & RI, Pondicherry",DERMATOLOGY,AIQ,OBC,"?1,10,000","? 43,000",0,? 0,750,
1,1171,Maharashtra,"BJMC, Pune",GENERAL SURGERY,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",1296,
1,1172,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PAEDIATRICS,AIQ,EWS,"? 51,000","? 136,008",1,"? 2,000,000",1626,
1,1173,Tamil Nadu,"KAPV Med Coll, Trichy",GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",2500,
1,1175,Karnataka,"Shimoga IMS, Shimoga",GENERAL MEDICINE,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",950,
1,1176,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,OBC,"?14,093","?87,216",2,"? 15,000,000",5702,
